corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs,relation
GPT3,train378,379,0,enable_GPT_0_0379,"The United Nations has also taken a leading role in promoting global cooperation, and has sought to foster collaboration between nations to address global challenges.","[""The United Nations has also taken a leading <ARG0>role</ARG0> in promoting global cooperation, and has sought to <ARG1>foster</ARG1> collaboration between nations to address global challenges.""]",1,enable
cnc,train_03_202,491,0,cnc_train_03_202_491_0,"Thiruvananthapuram : Protest against assault on woman in Kochi June 25 , 2011 00:00 IST Dozens of people , including women , took out a ‘ Freedom Walk ' through the main thoroughfare of the city on Thursday midnight in protest against the alleged assault on Tasni Banu , a woman BPO employee of the Infopark in Kochi a few days ago .","[""Thiruvananthapuram : <ARG1>Protest</ARG1> <ARG0>against assault on woman in Kochi</ARG0> June 25 , 2011 00:00 IST Dozens of people , including women , took out a ‘ Freedom Walk ' through the main thoroughfare of the city on Thursday midnight in protest against the alleged assault on Tasni Banu , a woman BPO employee of the Infopark in Kochi a few days ago ."", ""Thiruvananthapuram : Protest against assault on woman in Kochi June 25 , 2011 00:00 IST <ARG1>Dozens of people , including women , took out a ‘ Freedom Walk ' through the main thoroughfare of the city on Thursday midnight</ARG1> <ARG0><SIG0>in protest</SIG0> against the alleged assault on Tasni Banu , a woman BPO employee of the Infopark in Kochi a few days ago</ARG0> .""]",2,cause
cnc,train_05_306,2306,0,cnc_train_05_306_2306_0,The TRS students ' wing activists staged dharna in front of Karimnagar One Town police flaying the arrests of their activists and obstructing them from proceeding to Hyderabad .,"[""<ARG1>The TRS students ' wing activists staged dharna in front of Karimnagar One Town police</ARG1> flaying <ARG0>the arrests of their activists and obstructing them from proceeding to Hyderabad</ARG0> .""]",1,cause
GPT3,train1110,1111,0,intend_GPT_0_01111,The government passed a law to protect the rights of religious minorities and ensure freedom of religion.,"[""The government <ARG0>passed</ARG0> a law to protect the rights of religious minorities and <ARG1>ensure</ARG1> freedom of religion.""]",1,intend
cnc,train_04_48,2193,0,cnc_train_04_48_2193_0,"The newspaper ’ s insistence came after a third day of protests in Tianjin over the government response to Wednesday ’ s explosions , which followed a blaze at a warehouse storing hazardous chemicals .","['The newspaper ’ s insistence came after a third day of <ARG1>protests in Tianjin</ARG1> <SIG0>over</SIG0> <ARG0>the government response to Wednesday ’ s explosions</ARG0> , which followed a blaze at a warehouse storing hazardous chemicals .', 'The newspaper ’ s insistence came after a third day of protests in Tianjin over the government response to <ARG1>Wednesday ’ s explosions</ARG1> , which <SIG0>followed</SIG0> <ARG0>a blaze at a warehouse storing hazardous chemicals</ARG0> .']",2,cause
GPT3,train64,65,0,enable_GPT_0_065,"Prime Minister Margaret Thatcher might be receptive to any request by Jaguar Chairman Sir John Egan for the restriction's early removal to let GM amass more than 15% or mount a hostile takeover bid against Ford, while also providing financial incentives to Jaguar shareholders.","[""Prime Minister Margaret Thatcher might be <ARG0>receptive</ARG0> to any request by Jaguar Chairman Sir John Egan for the restrictions early removal to let GM amass more than 15% or mount a hostile <ARG1>takeover</ARG1> bid against Ford, while also providing financial incentives to Jaguar shareholders.""]",1,enable
GPT3,train765,766,0,prevent_GPT_0_0766,"The government has taken steps to prevent the spread of hate speech, including introducing new laws to regulate online content.","[""The government has <ARG0>taken steps</ARG0> to prevent the spread of <ARG1>Hate Speech</ARG1>, including introducing new laws to regulate online content.""]",1,prevent
cnc,train_09_B_2,2857,0,cnc_train_09_B_2_2857_0,No untoward incident was reported till late in the evening though some trouble was expected when the Maoists felled trees and blocked traffic on the road near Borthi village under Choudupally panchayat .,['No untoward incident was reported till late in the evening though <ARG1>some trouble was expected</ARG1> when <ARG0>the Maoists felled trees and blocked traffic on the road near Borthi village under Choudupally panchayat</ARG0> .'],1,cause
NEWS,train45,46,0,intend_our_data_0_046,The SEC has alleged that Mr. Antar aimed to pump up the company's stock price through false financial statements in order to sell his stake and reap huge profits.,"[""The SEC has alleged that Mr. Antar aimed to <ARG0>pump</ARG0> up the companys stock price through false financial statements in order to <ARG1>sell</ARG1> his stake and reap huge profits.""]",1,intend
AFPNEWS,train148,149,0,prevent_our_data_0_0149,-- Stannous Fluoride Toothpaste Stannous Fluoride (SnF2) helps to protect your gums against bacterial plaque.,"[""-- Stannous Fluoride Toothpaste Stannous Fluoride (<ARG0>SnF2</ARG0>) helps to <SIG0>protect</SIG0> your gums against bacterial <ARG1>plaque</ARG1>.""]",1,prevent
cnc,train_02_137,595,0,cnc_train_02_137_595_0,"A group of protesters pelted the police with stones , after the police dispersed them from blocking the road linking Brits and Letlhabile .","['<ARG1>A group of protesters pelted the police with stones</ARG1> , after <ARG0>the police dispersed them from blocking the road linking Brits and Letlhabile</ARG0> .']",1,cause
GPT3,train829,830,0,prevent_GPT_0_0830,The United Nations has imposed an arms embargo on Libya in an effort to prevent further violence in the region.,"[""The United Nations has imposed an arms <ARG0>embargo</ARG0> on Libya in an effort to prevent further <ARG1>violence</ARG1> in the region.""]",1,prevent
cnc,train_03_148,611,0,cnc_train_03_148_611_0,"The caller threatened to kill the former minister , saying that Nehru would be the next target after his brother Ramajayam .",[],0,0
cnc,train_10_290,505,0,cnc_train_10_290_505_0,– | Photo Credit : Photo : S.R.K. Staff Reporter KOZHIKODE : People were put to hardship as private buses went off the roads in deference to the State-wide token strike called against the decision of State government not to renew licence issued to buses .,"['– | Photo Credit : Photo : S.R.K. Staff Reporter KOZHIKODE : <ARG1>People were put to hardship</ARG1> <SIG0>as</SIG0> <ARG0>private buses went off the roads in deference to the State-wide token strike called against the decision of State government not to renew licence issued to buses</ARG0> .', '– | Photo Credit : Photo : S.R.K. Staff Reporter KOZHIKODE : People were put to hardship as <ARG1>private buses went off the roads</ARG1> <ARG0><SIG0>in deference to</SIG0> the State-wide token strike called</ARG0> against the decision of State government not to renew licence issued to buses .', '– | Photo Credit : Photo : S.R.K. Staff Reporter KOZHIKODE : People were put to hardship as private buses went off the roads in deference to <ARG1>the State-wide token strike called</ARG1> <ARG0>against the decision of State government not to renew licence issued to buses</ARG0> .']",3,cause
NEWS,train18,19,0,0_our_data_0_019,He also rejected reports that his departure stemmed from disappointment the general manager's post had n't  also led to a board directorship at the London-based news organization.,[],0,0
cnc,train_05_280,421,0,cnc_train_05_280_421_0,"The protests started on Tuesday , with residents demanding better service delivery and housing .","['<ARG1>The protests started on Tuesday</ARG1> , <SIG0>with</SIG0> <ARG0>residents demanding better service delivery and housing</ARG0> .']",1,cause
cnc,train_03_8,2340,0,cnc_train_03_8_2340_0,"DAVANGERE : Demand to distribute seeds , fertilizer November 04 , 2011 00:00 IST A large number of farmers staged a dharna in front of the Agriculture Department in Harihar on Thursday in protest against the failure to distribute agriculture implements , pesticides , seeds and fertilizer at subsidized rates for the past two years .","['DAVANGERE : Demand to distribute seeds , fertilizer November 04 , 2011 00:00 IST <ARG1>A large number of farmers staged a dharna in front of the Agriculture Department in Harihar on Thursday</ARG1> <ARG0><SIG0>in protest</SIG0> against the failure to distribute agriculture implements , pesticides , seeds and fertilizer at subsidized rates for the past two years</ARG0> .']",1,cause
GPT3,train1080,1081,0,intend_GPT_0_01081,The government introduced a new program to provide incentives for businesses to hire more workers.,"[""The government <ARG0>introduced</ARG0> a new program to provide incentives for businesses to <ARG1>hire</ARG1> more workers.""]",1,intend
cnc,train_06_51,3044,0,cnc_train_06_51_3044_0,"KERALA Private bus strike total in city August 14 , 2008 00:00 IST DIFFICULT RIDE : Commuters had a hard time on the first day of the private bus strike in the city on Wednesday .","['KERALA Private bus strike total in city August 14 , 2008 00:00 IST DIFFICULT RIDE : <ARG1>Commuters had a hard time on the first day</ARG1> of <ARG0>the private bus strike in the city on Wednesday</ARG0> .']",1,cause
NEWS,train123,124,0,0_our_data_0_0124,Dealers placed heavy buy orders in the morning to start the first trading day for November transactions.,[],0,0
GPT3,train1331,1332,0,intend_GPT_0_01332,The government passed a law to increase the number of anti-discrimination laws in an effort to promote equality.,"[""The government <ARG0>passed</ARG0> a law to increase the number of anti-discrimination laws in an effort to <ARG1>promote</ARG1> equality.""]",1,intend
cnc,train_10_94,1679,0,cnc_train_10_94_1679_0,"As the personal bodyguard of Rane , a police officer and two police constables , watched helplessly , the activists raised slogans and called for immediate cancellation of the inauguration ceremony .","['As the personal bodyguard of Rane , a police officer and two police constables , watched helplessly , <ARG1>the activists raised slogans</ARG1> and <ARG0>called for immediate cancellation of the inauguration ceremony</ARG0> .']",1,cause
cnc,train_02_223,2835,0,cnc_train_02_223_2835_0,This membership drive issue spilled over to the streets as another group took on its rivals near Keshari Talkies .,['<ARG1>This membership drive issue spilled over to the streets</ARG1> <SIG0>as</SIG0> <ARG0>another group took on its rivals near Keshari Talkies</ARG0> .'],1,cause
GPT3,train738,739,0,prevent_GPT_0_0739,The United States and its allies have imposed economic sanctions on Iran in an effort to prevent the country from destabilizing the region.,"[""The United States and its allies have imposed <ARG0>Economic sanctions</ARG0> on Iran in an effort to prevent the country from <ARG1>Destabilizing</ARG1> the region.""]",1,prevent
cnc,train_04_174,2791,0,cnc_train_04_174_2791_0,Police also arrested 400 BJP activists including senior leader Vidyasagar Rao at Shamshabad for staging a road blockade .,['<ARG1>Police also arrested 400 BJP activists including senior leader Vidyasagar Rao at Shamshabad</ARG1> <SIG0>for</SIG0> <ARG0>staging a road blockade .</ARG0>'],1,cause
GPT3,train773,774,0,prevent_GPT_0_0774,The government has implemented a series of laws to prevent the exploitation of women.,"[""The government has implemented a series of <ARG0>Laws</ARG0> to prevent the <ARG1>exploitation</ARG1> of women.""]",1,prevent
GPT3,train900,901,0,prevent_GPT_0_0901,The United States and its allies have imposed a no-fly zone over Iraq to prevent Saddam Hussein from using his air force to attack his own people.,"[""The United States and its allies have imposed a <ARG0>no-fly</ARG0> zone over Iraq to prevent Saddam Hussein from <ARG1>using</ARG1> his air force to attack his own people.""]",1,prevent
GPT3,train1265,1266,0,intend_GPT_0_01266,"The government is introducing a new law to protect the rights of the disabled, in an effort to ensure access to quality healthcare and social services.","[""The government is <ARG0>introducing</ARG0> a new law to protect the rights of the disabled, in an effort to <ARG1>ensure</ARG1> access to quality healthcare and social services.""]",1,intend
GPT3,train207,208,0,enable_GPT_0_0208,"The Canadian government has announced a new program to help low-income families with the cost of home insurance, providing up to $200 per year in assistance for those who qualify.","[""The Canadian government has announced a new <ARG0>program</ARG0> to <ARG1>help</ARG1> low-income families with the cost of home insurance, providing up to $200 per year in assistance for those who qualify.""]",1,enable
GPT3,train359,360,0,enable_GPT_0_0360,The United Nations has adopted a resolution calling for the establishment of a global fund to help developing countries cope with the effects of climate change.,"[""The United Nations has adopted a resolution calling for the establishment of a global <ARG0>fund</ARG0> to help developing countries <ARG1>cope</ARG1> with the effects of climate change.""]",1,enable
cnc,train_01_281,2775,0,cnc_train_01_281_2775_0,"We wo n't tolerate attacks on our drivers , say KZN trucking companies ANA Reporter DURBAN , June 3 ( ANA ) – Trucking companies said on Monday they would not tolerate attacks on their drivers , following the torching of 17 trucks in KwaZulu-Natal at the weekend .","[""We wo n't tolerate attacks on our drivers , say KZN trucking companies ANA Reporter DURBAN , June 3 ( ANA ) – <ARG1>Trucking companies said on Monday they would not tolerate attacks on their drivers</ARG1> , <SIG0>following</SIG0> <ARG0>the torching of 17 trucks in KwaZulu-Natal at the weekend</ARG0> .""]",1,cause
GPT3,train1001,1002,0,prevent_GPT_0_01002,The United Nations has imposed a trade embargo on Syria in an effort to prevent the country from destabilizing the region.,"[""The United Nations has imposed a trade <ARG0>Embargo</ARG0> on Syria in an effort to prevent the country from <ARG1>Destabilizing</ARG1> the region.""]",1,prevent
cnc,train_07_78,2225,0,cnc_train_07_78_2225_0,"It was a surcharged atmosphere as some lawyers went on an attacking spree without any provocation , identifying visual media personnel .","['<ARG1>It was a surcharged atmosphere</ARG1> <SIG0>as</SIG0> <ARG0>some lawyers went on an attacking spree without any provocation , identifying visual media personnel</ARG0> .']",1,cause
AFPNEWS,train52,53,0,enable_our_data_0_053,"Tools being added to the services will let users turn off ""like"" features on individual posts or all of them, according to Mosseri.","[""<ARG0>Tools</ARG0> being added to the services will <SIG0>let</SIG0> users <ARG1>turn off</ARG1> like features on individual posts or all of them, according to Mosseri.""]",1,enable
NEWS,train311,312,0,cause_our_data_0_0312,"Outside the capital, several people were hurt when they rushed to get out of a school in the southwestern city of Les Cayes, said the Rev.","[""Outside the capital, several people were <ARG1>hurt</ARG1> when they <ARG0>rushed</ARG0> to get out of a school in the southwestern city of Les Cayes, said the Rev.""]",1,cause
cnc,train_01_158,2387,0,cnc_train_01_158_2387_0,"Kunming railway station attack Three given death penalty over Kunming rail station attack Influenced by religious extremism , trio plotted knife rampage , court says , while a fourth defendant handed life sentence for taking part","['Kunming railway station attack <ARG1>Three given death penalty</ARG1> <SIG0>over</SIG0> <ARG0>Kunming rail station attack</ARG0> Influenced by religious extremism , trio plotted knife rampage , court says , while a fourth defendant handed life sentence for taking part', 'Kunming railway station attack Three given death penalty over Kunming rail station attack <ARG0>Influenced by religious extremism</ARG0> , <ARG1>trio plotted knife rampage</ARG1> , court says , while a fourth defendant handed life sentence for taking part', 'Kunming railway station attack Three given death penalty over Kunming rail station attack Influenced by religious extremism , trio plotted knife rampage , court says , while <ARG1>a fourth defendant handed life sentence</ARG1> <SIG0>for</SIG0> <ARG0>taking part</ARG0>']",3,cause
cnc,train_04_262,2568,0,cnc_train_04_262_2568_0,"The strike was total , “ 100 % success ” , UFBU convenor for Andhra Pradesh and Telangana V.V.S.R. Sarma said about the protest in which seven of the nine constituents of the Forum participated in a show of strength .",[],0,0
cnc,train_02_311,3082,0,cnc_train_02_311_3082_0,"20th July 2015 03:05 AM GUWAHATI : In the aftermath of the murder of two Hindi-speaking persons last week by the Paresh Baruah faction of the banned United Liberation Front of Assam ( Ulfa ) , which also threatened to target the community in the coming days , people took out a march here on Sunday to demonstrate their anger against the outfit .","['20th July 2015 03:05 AM GUWAHATI : <SIG0>In the aftermath of</SIG0> <ARG0>the murder of two Hindi-speaking persons last week by the Paresh Baruah faction of the banned United Liberation Front of Assam ( Ulfa )</ARG0> , which also threatened to target the community in the coming days , <ARG1>people took out a march here on Sunday to demonstrate their anger against the outfit</ARG1> .', '20th July 2015 03:05 AM GUWAHATI : In the aftermath of the murder of two Hindi-speaking persons last week by the Paresh Baruah faction of the banned United Liberation Front of Assam ( Ulfa ) , which also threatened to target the community in the coming days , <ARG1>people took out a march here on Sunday</ARG1> <ARG0><SIG0>to</SIG0> demonstrate their anger against the outfit</ARG0> .']",2,cause
AFPNEWS,train104,105,0,enable_our_data_0_0105,"Italy's government said Wednesday it had passed an ""important step"" in negotiations with the European Commission to create a new, leaner airline from its beleaguered Alitalia carrier, Italian media reported.","[""Italys government said Wednesday it had <SIG0>pass</SIG0>ed an important <ARG0>step</ARG0> in negotiations with the European Commission to create a new, leaner <ARG1>airline</ARG1> from its beleaguered Alitalia carrier, Italian media reported.""]",1,enable
cnc,train_01_266,2348,0,cnc_train_01_266_2348_0,"His arrest has sparked widespread protests by students , teachers as well as opposition parties .","['<ARG0>His arrest</ARG0> <SIG0>has sparked</SIG0> <ARG1>widespread protests by students , teachers as well as opposition parties</ARG1> .']",1,cause
GPT3,train724,725,0,prevent_GPT_0_0725,The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from destabilizing the region.,"[""The United Nations has imposed an <ARG0>Arms embargo</ARG0> on Libya in an effort to prevent the country from <ARG1>destabilizing</ARG1> the region.""]",1,prevent
AFPNEWS,train109,110,0,prevent_our_data_0_0110,"Dismissing the motion against him, he said it contained ""so many absurd things that there is even no sense in answering to all of them"".","[""Dismissing the motion against him, he said it <SIG0>contain</SIG0>ed so many <ARG0>absurd</ARG0> things that there is even no sense in <ARG1>answering</ARG1> to all of them.""]",1,prevent
cnc,train_09_A_109,209,0,cnc_train_09_A_109_209_0,The Maharashtra police apparently did not follow some administrative procedures such as informing the Bihar government when its team went to Bihar to arrest one of the persons accused of vandalising the memorial .,"['The Maharashtra police apparently did not follow some administrative procedures such as informing the Bihar government when <ARG1>its team went to Bihar to arrest one of the persons</ARG1> <ARG0>accused of vandalising the memorial</ARG0> .', 'The Maharashtra police apparently did not follow some administrative procedures such as informing the Bihar government when <ARG1>its team went to Bihar</ARG1> <ARG0><SIG0>to</SIG0> arrest one of the persons accused of vandalising the memorial</ARG0> .']",2,cause
GPT3,train170,171,0,enable_GPT_0_0171,The European Union has adopted a directive to ensure the free movement of goods and services across its member states.,"[""The European Union has adopted a <ARG0>directive</ARG0> to ensure the free <ARG1>movement</ARG1> of goods and services across its member states.""]",1,enable
GPT3,train1554,1555,0,intend_GPT_0_01555," ,The government passed a law to increase the minimum wage, in an effort to reduce poverty and inequality.","["",The government <ARG0>passed</ARG0> a law to <ARG1>increase</ARG1> the minimum wage, in an effort to reduce poverty and inequality.""]",1,intend
GPT3,train1545,1546,0,intend_GPT_0_01546,",The United Nations has adopted a new resolution to promote gender equality in the workplace.","["",The United Nations has <ARG0>adopted</ARG0> a new resolution to <ARG1>promote</ARG1> gender equality in the workplace.""]",1,intend
cnc,train_04_124,2457,0,cnc_train_04_124_2457_0,The incident occurred at 10.30 a.m. The pro-CPI(M) NGO Union activists alleged that the employees had been transferred based on a list submitted by the Congress-affiliated NGO Association district committee 's treasurer C. Ranjith .,[],0,0
GPT3,train519,520,0,prevent_GPT_0_0520,"The government has implemented a series of measures to prevent the spread of disease, including increased testing and increased access to healthcare.","[""The government has implemented a series of measures to prevent the <ARG1>Spread</ARG1> of disease, including increased <ARG0>Testing</ARG0> and increased access to healthcare.""]",1,prevent
GPT3,train127,128,0,enable_GPT_0_0128,The supplement to the Dow Jones tender offer circular provides additional information to shareholders.,"[""The <ARG0>supplement</ARG0> to the Dow Jones tender offer circular <ARG1>provides</ARG1> additional information to shareholders.""]",1,enable
cnc,train_09_B_136,1666,0,cnc_train_09_B_136_1666_0,"Apart from these two , one Ariz Khan alias Junaid had been declared a proclaimed offender while Mohd Saif was not made an accused in this case as according to the prosecution , he had surrendered peacefully and did not play any part in the entire incident .","['Apart from these two , one Ariz Khan alias Junaid had been declared a proclaimed offender while <ARG1>Mohd Saif was not made an accused in this case</ARG1> <SIG0>as</SIG0> <ARG0>according to the prosecution , he had surrendered peacefully and did not play any part in the entire incident</ARG0> .']",1,cause
cnc,train_07_132,58,0,cnc_train_07_132_58_0,It was not immediately known what the protest was about .,[],0,0
GPT3,train1466,1467,0,intend_GPT_0_01467,"The government has introduced a new program to provide job training and education services to those who are unemployed, in an effort to reduce long-term unemployment.","[""The government has <ARG0>introduced</ARG0> a new program to provide job training and education services to those who are unemployed, in an effort to <ARG1>reduce</ARG1> long-term unemployment.""]",1,intend
GPT3,train594,595,0,prevent_GPT_0_0595,"The government has implemented a series of measures to prevent the exploitation of vulnerable populations, including increased oversight of labor practices and increased public awareness.","[""The government has implemented a series of <ARG0>Measures</ARG0> to prevent the <ARG1>Exploitation</ARG1> of vulnerable populations, including increased oversight of labor practices and increased public awareness.""]",1,prevent
cnc,train_06_191,2056,0,cnc_train_06_191_2056_0,Caller tells TV channels that ULFA is not involved in the blasts Guwahati :,[],0,0
GPT3,train851,852,0,prevent_GPT_0_0852,"The government has implemented a series of measures to prevent the exploitation of vulnerable populations, including increased monitoring of labor practices.","[""The government has implemented a series of measures to prevent the <ARG1>Exploitation</ARG1> of vulnerable populations, including increased <ARG0>Monitoring</ARG0> of labor practices.""]",1,prevent
cnc,train_04_229,2731,0,cnc_train_04_229_2731_0,"On July 16 , one person identified as Mintu Deori was killed during a protest while 20 others , including two Additional SPs , were injured in clashes between police and protesters demanding shifting of proposed AIIMS in Assam from Changsari to Raha .","['On July 16 , <ARG1>one person identified as Mintu Deori was killed</ARG1> during <ARG0>a protest</ARG0> while 20 others , including two Additional SPs , were injured in clashes between police and protesters demanding shifting of proposed AIIMS in Assam from Changsari to Raha .', 'On July 16 , one person identified as Mintu Deori was killed during a protest while <ARG1>20 others , including two Additional SPs , were injured</ARG1> in <ARG0>clashes between police and protesters</ARG0> demanding shifting of proposed AIIMS in Assam from Changsari to Raha .', 'On July 16 , one person identified as Mintu Deori was killed during a protest while 20 others , including two Additional SPs , were injured in <ARG1>clashes between police and protesters</ARG1> <ARG0><SIG0>demanding</SIG0> shifting of proposed AIIMS in Assam from Changsari to Raha</ARG0> .']",3,cause
GPT3,train768,769,0,prevent_GPT_0_0769,The United Nations has imposed sanctions on North Korea in an effort to prevent the country from developing nuclear weapons.,"[""The United Nations has imposed <ARG0>Sanctions</ARG0> on North Korea in an effort to prevent the country from <ARG1>developing</ARG1> nuclear weapons.""]",1,prevent
cnc,train_03_278,759,0,cnc_train_03_278_759_0,The Congress leader was kidnapped and beheaded by Lashkar terrorists on the night of May 16 .,[],0,0
GPT3,train1297,1298,0,intend_GPT_0_01298,The government passed a law to increase access to healthcare and reduce healthcare costs.,"[""The government <ARG0>passed</ARG0> a law to increase access to healthcare and <ARG1>reduce</ARG1> healthcare costs.""]",1,intend
NEWS,train8,9,0,0_our_data_0_09,"Anheuser said it continues to hold to its earlier-announced goal of a 50% U.S. market share by the mid-1990s.    Beneath the tepid news-release jargon lies a powerful threat from the brewing giant, which last year accounted for about 41% of all U.S. beer sales and is expected to see that grow to 42.5% in the current year. ",[],0,0
cnc,train_04_274,334,0,cnc_train_04_274_334_0,“ Members of Hindu organisations are blaming the violence at Ambur on us and allege the presence of MLA A Aslam Basha at the incident site .,[],0,0
cnc,train_02_235,931,0,cnc_train_02_235_931_0,"Forty-four people were killed during strike-related unrest at Lonmin 's platinum mining operations at Marikana , near Rustenburg in North West , last year .","[""<ARG1>Forty-four people were killed</ARG1> during <ARG0>strike-related unrest at Lonmin 's platinum mining operations at Marikana</ARG0> , near Rustenburg in North West , last year .""]",1,cause
GPT3,train1401,1402,0,intend_GPT_0_01402,The government passed a law to protect the rights of indigenous peoples and ensure their access to land and resources.,"[""The government <ARG0>passed</ARG0> a law to protect the rights of indigenous peoples and <ARG1>ensure</ARG1> their access to land and resources.""]",1,intend
GPT3,train385,386,0,enable_GPT_0_0386,The European Union has passed a resolution to increase the amount of aid it provides to developing countries.,"[""The European Union has passed a <ARG0>resolution</ARG0> to <ARG1>increase</ARG1> the amount of aid it provides to developing countries.""]",1,enable
cnc,train_07_151,2579,0,cnc_train_07_151_2579_0,"30th October 2009 03:51 AM BANGALORE : After several demands to the government , the Campaign Against Child Labour (CACL)—Bangalore Chapter , marched to offices of political parties in the city on Thursday to demand inclusion of child rights in political manifestoes and to address them in the forthcoming BBMP polls .","['30th October 2009 03:51 AM BANGALORE : After several demands to the government , <ARG1>the Campaign Against Child Labour (CACL)—Bangalore Chapter , marched to offices of political parties in the city on Thursday</ARG1> <ARG0><SIG0>to</SIG0> demand inclusion of child rights in political manifestoes and to address them in the forthcoming BBMP polls</ARG0> .']",1,cause
cnc,train_01_103,2840,0,cnc_train_01_103_2840_0,Protesters are angry at the police ’ s slow response to the attack in Yuen Long and their pursuit of the case .,['<ARG1>Protesters are angry</ARG1> <SIG0>at</SIG0> <ARG0>the police ’ s slow response to the attack in Yuen Long and their pursuit of the case</ARG0> .'],1,cause
cnc,train_09_B_44,2729,0,cnc_train_09_B_44_2729_0,NIZAMABAD :,[],0,0
cnc,train_01_269,2013,0,cnc_train_01_269_2013_0,Ajay Kumar told IANS that the non-teaching staff were only protesting and not going on strike .,[],0,0
GPT3,train149,150,0,enable_GPT_0_0150,"The United Nations has passed a resolution to end the use of torture and other cruel, inhuman, or degrading treatment or punishment.","[""The United Nations has passed a <ARG0>resolution</ARG0> to <ARG1>end</ARG1> the use of torture and other cruel, inhuman, or degrading treatment or punishment.""]",1,enable
cnc,train_02_8,2528,0,cnc_train_02_8_2528_0,"Earlier , came news of the lynching of Dharam Dev Rai , 25 , in a local train in the early hours of Wednesday .",[],0,0
cnc,train_01_50,232,0,cnc_train_01_50_232_0,"Authorities yesterday said they would scrap the 10.4 billion yuan ( HK $ 12.7 billion ) project , the subject of demonstrations by tens of thousands of Shifang residents .","['Authorities yesterday said <ARG1>they would scrap the 10.4 billion yuan ( HK $ 12.7 billion ) project</ARG1> , <ARG0>the subject of demonstrations by tens of thousands of Shifang residents</ARG0> .']",1,cause
GPT3,train1229,1230,0,intend_GPT_0_01230,"The government passed a law to increase access to affordable housing, in an effort to reduce homelessness and improve living conditions.","[""The government passed a law to <ARG0>increase</ARG0> access to affordable housing, in an effort to reduce homelessness and <ARG1>improve</ARG1> living conditions.""]",1,intend
GPT3,train1313,1314,0,intend_GPT_0_01314,"The government has introduced a new law to protect the rights of the elderly, in an effort to ensure access to quality healthcare and social services.","[""The government has <ARG0>introduced</ARG0> a new law to protect the rights of the elderly, in an effort to <ARG1>ensure</ARG1> access to quality healthcare and social services.""]",1,intend
cnc,train_05_321,725,0,cnc_train_05_321_725_0,"Oct 8 , 2009 : 17 policemen were killed in an ambush by Maoists at Laheri police station in Gadchiroli district of Maharashtra .","['Oct 8 , 2009 : <ARG1>17 policemen were killed</ARG1> in <ARG0>an ambush by Maoists at Laheri police station in Gadchiroli district of Maharashtra</ARG0> .']",1,cause
NEWS,train247,248,0,cause_our_data_0_0248,The restaurant operator cited transaction costs from its 1988 recapitalization as a result of a $160 million restructuring of its bank debt.,"[""The restaurant operator <ARG1>cited</ARG1> transaction costs from its 1988 recapitalization as a result of a $160 million <ARG0>restructuring</ARG0> of its bank debt.""]",1,cause
cnc,train_04_5,811,0,cnc_train_04_5_811_0,"But the surcharged emotions after the release of Srikrishna Committee report made us to boycott exams , ” a student leader agreed .","['But <ARG1>the surcharged emotions</ARG1> after <ARG0>the release of Srikrishna Committee report</ARG0> made us to boycott exams , ” a student leader agreed .', 'But <ARG0>the surcharged emotions</ARG0> after the release of Srikrishna Committee report <ARG1><SIG0>made us to</SIG0> boycott exams</ARG1> , ” a student leader agreed .']",2,cause
NEWS,train75,76,0,cause_our_data_0_076,"Though Mr. Packer has since sold his stake, Courtaulds is moving to keep its institutional shareholders happy. ","[""Though Mr. Packer has since <ARG0>sold</ARG0> his stake, Courtaulds is moving to keep its institutional shareholders <ARG1>happy</ARG1>.""]",1,cause
cnc,train_02_154,3122,0,cnc_train_02_154_3122_0,The announcement resulted in an all-night sit-in protest by 850 workers that ended only with the intervention of the police on Saturday morning .,"['The announcement resulted in <ARG1>an all-night sit-in protest by 850 workers that ended</ARG1> <SIG0>only with</SIG0> <ARG0>the intervention of the police on Saturday morning</ARG0> .', '<ARG0>The announcement</ARG0> <SIG0>resulted in</SIG0> <ARG1>an all-night sit-in protest by 850 workers</ARG1> that ended only with the intervention of the police on Saturday morning .']",2,cause
cnc,train_04_256,3052,0,cnc_train_04_256_3052_0,Some sat in groups while others blew whistles and sang liberation songs in front of the podium where Malema was expected to speak .,[],0,0
cnc,train_03_320,2915,0,cnc_train_03_320_2915_0,"OTHER STATES Seeking their due February 23 , 2010 00:00 IST A A A IN AGITATION MODE : Members of the ’ Pramila Devi Mahila Kalyan Sangha ’ demonstrating in front of the RDC office in Berhampur on Monday against ‘ failure ’ of implementation of NREGA in parts of Ganjam district and non-inclusion of some BPL families in the BPL list .","['OTHER STATES Seeking their due February 23 , 2010 00:00 IST A A A IN AGITATION MODE : <ARG1>Members of the ’ Pramila Devi Mahila Kalyan Sangha ’ demonstrating in front of the RDC office in Berhampur on Monday</ARG1> <ARG0>against ‘ failure ’ of implementation of NREGA in parts of Ganjam district and non-inclusion of some BPL families in the BPL list</ARG0> .']",1,cause
GPT3,train1525,1526,0,intend_GPT_0_01526,The European Union has adopted a new policy to reduce the amount of plastic waste in the environment.,"[""The European Union has <ARG0>adopted</ARG0> a new policy to <ARG1>reduce</ARG1> the amount of plastic waste in the environment.""]",1,intend
