context,triplets,label
 causes  pain intend apologize,<triplet>  causes  pain <subj> apologize <obj> intend,intend
 loves the outdoors intend to go hiking,<triplet>  loves the outdoors <subj> to go hiking <obj> intend,intend
bakes a pie enabling sight during outdoor activities.,<triplet>  bakes a pie <subj> enabling sight during outdoor activities. <obj> no_relation,no_relation
If theoor is unlock shoes get dirty,<triplet>  If theoor is unlock <subj> shoes get dirty <obj> no_relation,no_relation
Covering the food with a lid before refrigeration prevents spoilage and contamination,<triplet> Covering the food with a lid before refrigeration <subj> spoilage and contamination <obj> prevent,prevent
 says maybe intend to go about his/her day,<triplet>  says maybe <subj> to go about his/her day <obj> intend,intend
"Using safe methods when transporting heavy objects prevents accidents, injuries, or damage caused by improper handling or lifting techniques.","<triplet> Using safe methods when transporting heavy objects <subj> accidents, injuries, or damage caused by improper handling or lifting techniques. <obj> prevent",prevent
 feels pretty bad intend to make it right,<triplet>  feels pretty bad <subj> to make it right <obj> intend,intend
The door one can use a jumper cable to enable the car to start again,<triplet> The door <subj> one can use a jumper cable to enable the car to start again <obj> no_relation,no_relation
Using a seatbelt while driving on bumpy roads prevents injuries from sudden stops or collisions,<triplet> Using a seatbelt while driving on bumpy roads <subj> injuries from sudden stops or collisions <obj> prevent,prevent
"is time to go home dehydration, especially during hot weather or physical activity.","<triplet>  is time to go home <subj> dehydration, especially during hot weather or physical activity. <obj> no_relation",no_relation
solves the problem say goodbye to,<triplet>  solves the problem <subj> say goodbye to  <obj> no_relation,no_relation
 strikes  into the hearts cause becomes a renowned public speaker,<triplet>  strikes into the hearts <subj> becomes a renowned public speaker <obj> cause,cause
 overcomes evil with good intend to protest,<triplet>  overcomes evil with good <subj> to protest <obj> intend,intend
 wants  than anything cause is successful,<triplet>  wants than anything <subj> is successful <obj> cause,cause
"The phone line is working
which
enables us to make and receive calls",<triplet> The phone line is working <subj> enables us to make and receive calls <obj> enable,enable
 wins  over cause happy feelings,<triplet>  wins  over <subj> happy feelings <obj> cause,cause
 saves enough money intend to go buy it,<triplet>  saves enough money <subj> to go buy it <obj> intend,intend
 starts chasing  cause yells in fear,<triplet>  starts chasing  <subj> yells in fear <obj> cause,cause
 teaches children  cause gains knowledge,<triplet>  teaches children  <subj> gains knowledge <obj> cause,cause
is baking cookies to keep it as a pet,<triplet>  is baking cookies <subj> to keep it as a pet <obj> no_relation,no_relation
 Covering food and storing it at proper temperatures prevents food poisoning or bacterial contamination due to improper handling or storage,<triplet> Covering food and storing it at proper temperatures <subj> food poisoning or bacterial contamination due to improper handling or storage <obj> prevent,prevent
 kills every  cause become sweaty,<triplet>  kills every  <subj> become sweaty <obj> cause,cause
"If the weather
is sunny and clear,
we can have a picnic outside.",<triplet> If the weather <subj> we can have a picnic outside. <obj> enable,enable
 finds  to read intend to read day and night,<triplet>  finds to read <subj> to read day and night <obj> intend,intend
The road is clear of obstacles call their family,<triplet> The road is clear of obstacles <subj> call their family <obj> no_relation,no_relation
 knows how to cook intend show their talent off,<triplet>  knows how to cook <subj> show their talent off <obj> intend,intend
Using a bike helmet while cycling finds something,<triplet> Using a bike helmet while cycling <subj> finds something <obj> no_relation,no_relation
 hugs  intend to tell  something,<triplet>  hugs  <subj> to tell  something <obj> intend,intend
 takes a shortcut cause opens the door,<triplet>  takes a shortcut <subj> opens the door <obj> cause,cause
Taking allergy medication before exposure to pollen prevents allergic reactions.,<triplet> Taking allergy medication before exposure to pollen <subj> allergic reactions. <obj> prevent,prevent
 makes a hole cause falls asleep,<triplet>  makes a hole <subj> falls asleep <obj> cause,cause
 seizes the  by force intend to get hold of __,<triplet>  seizes the by force <subj> to get hold of __ <obj> intend,intend
 smells really good intend to impress others.,<triplet>  smells really good <subj> to impress others. <obj> intend,intend
 visits the park cause Stress levels reduce,<triplet>  visits the park <subj> Stress levels reduce <obj> cause,cause
 contacts the seller cause waits on the phone,<triplet>  contacts the seller <subj> waits on the phone <obj> cause,cause
Cleaning your teeth after eating can prevent cavities and tooth decay,<triplet> Cleaning your teeth after eating <subj> cavities and tooth decay <obj> prevent,prevent
 robs  cause becomes poor,<triplet>  robs  <subj> becomes poor <obj> cause,cause
 moves  around intend to get rid of junk,<triplet>  moves around <subj> to get rid of junk <obj> intend,intend
 works each day intend to do a good job,<triplet>  works each day <subj> to do a good job <obj> intend,intend
 steals from  intend to destroy the evidence,<triplet>  steals from  <subj> to destroy the evidence <obj> intend,intend
he didnt finish eating it take a short vacation,<triplet> he didnt finish eating it <subj> take a short vacation <obj> no_relation,no_relation
 knows every trick in the book cause gets called out,<triplet>  knows every trick in the book <subj> gets called out <obj> cause,cause
is really happy to find it,<triplet>  is really happy <subj> to find it <obj> no_relation,no_relation
 bleeds profusely intend to get help,<triplet>  bleeds profusely <subj> to get help <obj> intend,intend
 stresses  intend to calm down,<triplet>  stresses  <subj> to calm down <obj> intend,intend
When the light is green to seek a reward,<triplet> When the light is green <subj> to seek a reward <obj> no_relation,no_relation
preventsfrommaking a clean decision to drive safely.,<triplet> prevents <subj> making a clean decision to drive safely. <obj> prevent,prevent
 would be mad cause starts sweating,<triplet>  would be mad <subj> starts sweating <obj> cause,cause
never found out to fly a plane,<triplet>  never found out <subj> to fly a plane <obj> no_relation,no_relation
"The coffee won't be ready without heating it
turning
on the stove",<triplet> The coffee wont be ready without heating it <subj> on the stove <obj> enable,enable
 meets the baby cause gets spoken to,<triplet>  meets the baby <subj> gets spoken to <obj> cause,cause
"Switched on
illuminates
the space and allows the user to see clearly",<triplet> Switched on <subj> the space and allows the user to see clearly <obj> enable,enable
 finds one  liked cause Buys it,<triplet>  finds one  liked <subj> Buys it <obj> cause,cause
 takes the plunge intend to live with ,<triplet>  takes the plunge <subj> to live with  <obj> intend,intend
 gives  the benefit of the doubt intend to do something else,<triplet>  gives  the benefit of the doubt <subj> to do something else <obj> intend,intend
 plays checkers intend to play another game,<triplet>  plays checkers <subj> to play another game <obj> intend,intend
"If the road is icy
is unsafe to
drive on it without chains or snow tires.",<triplet> If the road is icy <subj> drive on it without chains or snow tires. <obj> enable,enable
 gets  on the test intend run away,<triplet>  gets on the test <subj> run away <obj> intend,intend
In order to prevent foodborne illness win the match,<triplet> In order to prevent foodborne illness <subj> win the match <obj> no_relation,no_relation
 makes the purchase intend get confirmation or purchase identification number,<triplet>  makes the purchase <subj> get confirmation or purchase identification number <obj> intend,intend
reads six books X talks to that friend.,<triplet>  reads six books <subj> X talks to that friend. <obj> no_relation,no_relation
 treats  in patients intend prescribe medication,<triplet>  treats in patients <subj> prescribe medication <obj> intend,intend
is Unerstaning the concept to spend time with them,<triplet> is Unerstaning the concept <subj> to spend time with them <obj> no_relation,no_relation
 cuts the ribbon intend to applaud,<triplet>  cuts the ribbon <subj> to applaud <obj> intend,intend
Holding your cellphone in hands-free mode while driving prevents distracted driving accidents caused by texting or making phone calls.,<triplet> Holding your cellphone in hands-free mode while driving <subj> distracted driving accidents caused by texting or making phone calls. <obj> prevent,prevent
Not eating contaminated food prevents foodborne illnesses such as salmonella or E. coli infections.,<triplet> Not eating contaminated food <subj> foodborne illnesses such as salmonella or E. coli infections. <obj> prevent,prevent
"Regularly flushing out septic systems or sewage tanks prevents septic tank backups, which can lead to contamination of drinking water or other health hazards.","<triplet> Regularly flushing out septic systems or sewage tanks <subj> septic tank backups, which can lead to contamination of drinking water or other health hazards. <obj> prevent",prevent
looks for starts driving,<triplet>  looks for  <subj> starts driving <obj> no_relation,no_relation
 buys apples intend to make apple pie,<triplet>  buys apples <subj> to make apple pie <obj> intend,intend
 loses  life intend unhappy,<triplet>  loses  life <subj> unhappy <obj> intend,intend
"The bus
stopped on the right lane
creating a safe place for pedestrians to cross the street.",<triplet> The bus <subj> creating a safe place for pedestrians to cross the street. <obj> enable,enable
helps  clean to forget about it all,<triplet>  helps  clean <subj> to forget about it all <obj> no_relation,no_relation
 bleeds a lot cause becomes faint,<triplet>  bleeds a lot <subj> becomes faint <obj> cause,cause
asks what  wanted has the favor returned,<triplet>  asks what  wanted <subj> has the favor returned <obj> no_relation,no_relation
gives  a couple unintended pregnancy or transmission of sexually transmitted infections,<triplet>  gives  a couple <subj> unintended pregnancy or transmission of sexually transmitted infections <obj> no_relation,no_relation
If there is enough food pays the deposit for the apartment,<triplet> If there is enough food <subj>  pays the deposit for the apartment <obj> no_relation,no_relation
 feels grateful cause bows head,<triplet>  feels grateful <subj> bows head <obj> cause,cause
 is able to drive intend to enjoy the long drive,<triplet>  is able to drive <subj> to enjoy the long drive <obj> intend,intend
 feels proud intend to ask how  is so great,<triplet>  feels proud <subj> to ask how  is so great <obj> intend,intend
 permits  to enter cause stops sweating,<triplet>  permits to enter <subj> stops sweating <obj> cause,cause
Putting the kettle on the stove and walking away prevents burns caused by accidentally leaving it on.,<triplet> Putting the kettle on the stove and walking away <subj> burns caused by accidentally leaving it on. <obj> prevent,prevent
 pulls an all nighter intend relax,<triplet>  pulls an all nighter <subj> relax <obj> intend,intend
"If the door is locked,
you can try opening it with
a key","<triplet> If the door is locked, <subj> a key <obj> enable",enable
is If you have a bicycle is  enabling   you to rie it,<triplet> is If you have a bicycle <subj>  you to rie it <obj> enable,enable
 brings down the hammer intend to build something,<triplet>  brings down the hammer <subj> to build something <obj> intend,intend
 Refusing to provide sensitive information over the phone prevents identity theft and unauthorized access to personal data,<triplet> Refusing to provide sensitive information over the phone <subj> identity theft and unauthorized access to personal data <obj> prevent,prevent
 summons another  intend to suggest their ideas,<triplet>  summons another  <subj> to suggest their ideas <obj> intend,intend
 creates  atmosphere intend to make another date,<triplet>  creates  atmosphere <subj> to make another date <obj> intend,intend
The doorbell is ringing loudly comes to new realization,<triplet> The doorbell is ringing loudly <subj> comes to new realization <obj> no_relation,no_relation
 is shot and killed cause mourns,<triplet>  is shot and killed <subj> mourns <obj> cause,cause
 waits to play intend patient,<triplet>  waits to play <subj> patient <obj> intend,intend
"the tea can be steeped for a perfect cup of tea
making possible
a strong and flavorful brew that will satisfy any tea lover's taste buds",<triplet> the tea can be steeped for a perfect cup of tea <subj> a strong and flavorful brew that will satisfy any tea lovers taste buds <obj> enable,enable
 wants  to be happy cause gets satisfed,<triplet>  wants  to be happy <subj> gets satisfed <obj> cause,cause
 gets all wet intend to retrieve her phone,<triplet>  gets all wet <subj> to retrieve her phone <obj> intend,intend
"When the light
turns green
you may cross the street",<triplet> When the light <subj> you may cross the street <obj> enable,enable
 likes to cook intend eat,<triplet>  likes to cook <subj> eat <obj> intend,intend
 derives  benefit cause learns more themself,<triplet>  derives  benefit <subj> learns more themself <obj> cause,cause
 gives a ticket cause pay their fine,<triplet>  gives a ticket <subj> pay their fine <obj> cause,cause
 introduces  to the cool kids intend persony to have have a good time.,<triplet>  introduces  to the cool kids <subj> persony to have have a good time. <obj> intend,intend
always brought to enjoy the incentive,<triplet>  always brought  <subj> to enjoy the incentive <obj> no_relation,no_relation
 breaks the record intend rest on their laurels,<triplet>  breaks the record <subj> rest on their laurels <obj> intend,intend
misses  already to appreciate Y,<triplet>  misses  already <subj> to appreciate Y <obj> no_relation,no_relation
likes a boy to get safe themselves,<triplet>  likes a boy <subj> to get safe themselves <obj> no_relation,no_relation
 holds  up cause gets compliment,<triplet>  holds  up <subj> gets compliment <obj> cause,cause
 is married for 20 years intend loves their partner,<triplet>  is married for 20 years <subj> loves their partner <obj> intend,intend
repairs the damage wake up,<triplet>  repairs the damage <subj> wake up <obj> no_relation,no_relation
 wants to marry  intend to politely decline,<triplet>  wants to marry  <subj> to politely decline <obj> intend,intend
 looks so good intend to remain looking good.,<triplet>  looks so good <subj> to remain looking good. <obj> intend,intend
The cars engine is running smoothly has a can make good choicies,<triplet>  The cars engine is running smoothly <subj> has a can make good choicies <obj> no_relation,no_relation
"Staying hydrated by drinking plenty of water can prevent dehydration, headaches, and fatigue.","<triplet> Staying hydrated by drinking plenty of water <subj> dehydration, headaches, and fatigue. <obj> prevent",prevent
Using seat belts while driving prevents serious injuries or fatalities in the event of a car accident.,<triplet> Using seat belts while driving <subj> serious injuries or fatalities in the event of a car accident. <obj> prevent,prevent
 gets the last laugh intend stand up comedy,<triplet>  gets the last laugh <subj> stand up comedy <obj> intend,intend
Having saved sufficient money permits the vacation of their dreams.,<triplet> Having saved sufficient money <subj> the vacation of their dreams. <obj> enable,enable
"If a battery
is connected to a circuit
then an electrical current",<triplet> If a battery <subj> then an electrical current <obj> enable,enable
 learns so much cause becomes intelligent,<triplet>  learns so much <subj> becomes intelligent <obj> cause,cause
The printer ran out of ink which enables,<triplet> The printer ran out of ink <subj> which enables <obj> no_relation,no_relation
 has to use the restroom cause washes hands,<triplet>  has to use the restroom <subj> washes hands <obj> cause,cause
 loves the painting intend to meet the painter,<triplet>  loves the painting <subj> to meet the painter <obj> intend,intend
 sees the point intend to make sure others to do,<triplet>  sees the point <subj> to make sure others to do <obj> intend,intend
 finds the key cause can get ride from personX,<triplet>  finds the key <subj> can get ride from personX <obj> cause,cause
Seeking regular medical checkups and preventative care services prevents chronic health conditions or complications from undetected illnesses.,<triplet> Seeking regular medical checkups and preventative care services <subj> chronic health conditions or complications from undetected illnesses. <obj> prevent,prevent
The security alarm blared loudly to send the note in the mail to,<triplet> The security alarm blared loudly <subj> to send the note in the mail to  <obj> no_relation,no_relation
Using a condom during sexual activity to find something,<triplet> Using a condom during sexual activity <subj> to find something <obj> no_relation,no_relation
 decides to cook dinner intend to entertain,<triplet>  decides to cook dinner <subj> to entertain <obj> intend,intend
 is in bad shape cause gets no date,<triplet>  is in bad shape <subj> gets no date <obj> cause,cause
"If the car's battery
is fully charged
allows for",<triplet> If the cars battery <subj> allows for <obj> enable,enable
 cooks meal intend to eat food,<triplet>  cooks meal <subj> to eat food <obj> intend,intend
stinks on ice safely reaching the summit,<triplet>  stinks on ice <subj> safely reaching the summit <obj> no_relation,no_relation
Installing smoke detectors in the home prevents fatalities caused by house fires.,<triplet> Installing smoke detectors in the home <subj> fatalities caused by house fires. <obj> prevent,prevent
 puts on airs cause stands straight,<triplet>  puts on airs <subj> stands straight <obj> cause,cause
"Covering food when cooking outdoors during windy weather prevents foodborne illnesses caused by contamination with dust, debris, or insects","<triplet> Covering food when cooking outdoors during windy weather <subj> foodborne illnesses caused by contamination with dust, debris, or insects <obj> prevent",prevent
 is a good fit cause accomplishes tasks at work,<triplet>  is a good fit <subj> accomplishes tasks at work <obj> cause,cause
The printer turns head around,<triplet> The printer <subj> turns head around <obj> no_relation,no_relation
 tells  to get a job intend help mind,<triplet>  tells  to get a job <subj> help mind <obj> intend,intend
 holds  in check intend to leave,<triplet>  holds  in check <subj> to leave <obj> intend,intend
Limiting screen time for children and adolescents Person X looses energy from running,<triplet> Limiting screen time for children and adolescents <subj> Person X looses energy from running <obj> no_relation,no_relation
 gives  a right cause use of the rights,<triplet>  gives  a right <subj> use of the rights <obj> cause,cause
 eats  together intend to be fed,<triplet>  eats together <subj> to be fed <obj> intend,intend
"asks  to help odors and moisture from escaping, which can cause spoilage.","<triplet>  asks  to help <subj> odors and moisture from escaping, which can cause spoilage. <obj> no_relation",no_relation
"Installing a fence around a swimming pool prevents drowning accidents, especially in households with young children.","<triplet> Installing a fence around a swimming pool <subj> drowning accidents, especially in households with young children. <obj> prevent",prevent
If there is water put the casserole inside to bake it evenly.,<triplet> If there is water <subj> put the casserole inside to bake it evenly. <obj> no_relation,no_relation
 rents and managing properties for a fee intend to get the rent,<triplet>  rents and managing properties for a fee <subj> to get the rent <obj> intend,intend
 holds fast the  cause Person X performs a ritual dance.,<triplet>  holds fast the  <subj> Person X performs a ritual dance. <obj> cause,cause
 listens to every word intend to absorb the knowledge,<triplet>  listens to every word <subj> to absorb the knowledge <obj> intend,intend
 cries himself to sleep cause Person X sleeps,<triplet>  cries himself to sleep <subj> Person X sleeps <obj> cause,cause
spends some time with people go to the beach.,<triplet>  spends some time with  <subj> people go to the beach. <obj> no_relation,no_relation
Using rechargeable batteries instead of disposable ones gets thrown in a looney bin,<triplet> Using rechargeable batteries instead of disposable ones <subj>  gets thrown in a looney bin <obj> no_relation,no_relation
"When the light switch is on
nan
The room",<triplet> When the light switch is on <subj> The room <obj> enable,enable
"After you close the door
will
the alarm activate",<triplet> After you close the door <subj> the alarm activate <obj> enable,enable
 The roa is clear   permits  ting theriver to reach theirestination quickly an safely,<triplet>  The roa is clear <subj>  theriver to reach theirestination quickly an safely <obj> enable,enable
Taking breaks while using a computer for prolonged periods of time to be open minded,<triplet> Taking breaks while using a computer for prolonged periods of time <subj> to be open minded <obj> no_relation,no_relation
"The internet connection
is stable,
enabling for seamless streaming of videos and movies online.",<triplet> The internet connection <subj> enabling for seamless streaming of videos and movies online. <obj> enable,enable
starts chasing engages in conversation,<triplet>  starts chasing  <subj> engages in conversation <obj> no_relation,no_relation
Using a water-efficient washing machine to take pictures of the new one,<triplet> Using a water-efficient washing machine <subj> to take pictures of the new one <obj> no_relation,no_relation
sees up close electrical appliances from malfunctioning during storms or other emergencies.,<triplet>  sees up close <subj> electrical appliances from malfunctioning during storms or other emergencies. <obj> no_relation,no_relation
When the oven it will escape,<triplet> When the oven <subj> it will escape <obj> no_relation,no_relation
 prevents  from escaping intend to be powerful,<triplet>  prevents from escaping <subj> to be powerful <obj> intend,intend
"Installing smoke detectors in the home prevents fatalities caused by house fires, as these devices provide early warning signs to occupants.","<triplet> Installing smoke detectors in the home <subj> fatalities caused by house fires, as these devices provide early warning signs to occupants. <obj> prevent",prevent
Avoiding exposure to secondhand smoke and indoor pollution to lose weight,<triplet> Avoiding exposure to secondhand smoke and indoor pollution <subj> to lose weight <obj> no_relation,no_relation
 relaxes and watch intend to rest,<triplet>  relaxes and watch <subj> to rest <obj> intend,intend
 gets plenty of sleep intend to get ready foe work,<triplet>  gets plenty of sleep <subj> to get ready foe work <obj> intend,intend
Installing a security system prevents break-ins and thefts,<triplet> Installing a security system <subj> break-ins and thefts <obj> prevent,prevent
plays a in affairs have a cup of coffee,<triplet>  plays a in affairs <subj> have a cup of coffee <obj> no_relation,no_relation
"The fire extinguisher
is easily accessible
allowing anyone to quickly put out a small fire",<triplet> The fire extinguisher <subj> allowing anyone to quickly put out a small fire <obj> enable,enable
"Keeping pets away from children prevents allergies, bites, and other potential health hazards.","<triplet> Keeping pets away from children <subj> allergies, bites, and other potential health hazards. <obj> prevent",prevent
Removing flammable items and securing the building against strong winds during hurricane season test it to ensure that it is fixed,<triplet> Removing flammable items and securing the building against strong winds during hurricane season <subj> test it to ensure that it is fixed <obj> no_relation,no_relation
 tells  not to intend to save ,<triplet>  tells  not to <subj> to save  <obj> intend,intend
 takes  to the shop intend to return,<triplet>  takes to the shop <subj> to return <obj> intend,intend
"Regularly cleaning and maintaining your car's air filter prevents engine damage, improves fuel efficiency, and reduces emissions.","<triplet> Regularly cleaning and maintaining your cars air filter <subj> engine damage, improves fuel efficiency, and reduces emissions. <obj> prevent",prevent
Avoiding contact with infected animals and humans can prevent the spread of diseases.,<triplet> Avoiding contact with infected animals and humans <subj> the spread of diseases. <obj> prevent,prevent
"The GPS device
allows
Drivers can navigate unfamiliar roads and reach their destination safely",<triplet> The GPS device <subj> Drivers can navigate unfamiliar roads and reach their destination safely <obj> enable,enable
 exercises  authority cause spend money,<triplet>  exercises  authority <subj> spend money <obj> cause,cause
 stops on the side of the road cause gets towed,<triplet>  stops on the side of the road <subj> gets towed <obj> cause,cause
 straps  cause laughs,<triplet>  straps  <subj> laughs <obj> cause,cause
 urges  to accept cause heart beats fast,<triplet>  urges  to accept <subj> heart beats fast <obj> cause,cause
makes  call save more,<triplet>  makes  call <subj> save more <obj> no_relation,no_relation
 makes good grades intend to help them succeed,<triplet>  makes good grades <subj> to help them succeed <obj> intend,intend
 works two jobs cause is tired,<triplet>  works two jobs <subj> is tired <obj> cause,cause
 puts  in my wallet intend to gives thanks,<triplet>  puts in my wallet <subj> to gives thanks <obj> intend,intend
 blinks several times intend to clear their eyes,<triplet>  blinks several times <subj> to clear their eyes <obj> intend,intend
 sees  outside cause  is thanked,<triplet>  sees outside <subj>  is thanked <obj> cause,cause
"With sufficient resources and technology available, thumbs ache","<triplet> With sufficient resources and technology available, <subj> thumbs ache <obj> no_relation",no_relation
"The laptop is fully operational
allowing
us to complete our work efficiently and effectively",<triplet> The laptop is fully operational <subj> us to complete our work efficiently and effectively <obj> enable,enable
"I finish my work on time
If
I will be able to leave early",<triplet> I finish my work on time <subj> I will be able to leave early <obj> enable,enable
 gets some candy cause gets cavities,<triplet>  gets some candy <subj> gets cavities <obj> cause,cause
crosses the finish line stops because wrist hurts,<triplet>  crosses the finish line <subj> stops because wrist hurts <obj> no_relation,no_relation
Installing smoke detectors in all rooms can prevent the loss of life due to fires.,<triplet> Installing smoke detectors in all rooms <subj> the loss of life due to fires. <obj> prevent,prevent
 calls  tomorrow intend to talk,<triplet>  calls  tomorrow <subj> to talk <obj> intend,intend
 watches television intend to be entertained,<triplet>  watches television <subj> to be entertained <obj> intend,intend
 finishes the race cause gets applause,<triplet>  finishes the race <subj> gets applause <obj> cause,cause
loses get a headache,<triplet>  loses  <subj> get a headache <obj> no_relation,no_relation
 gets new pants intend to go out to a party,<triplet>  gets new pants <subj> to go out to a party <obj> intend,intend
 buys new clothes intend To wear the clothes,<triplet>  buys new clothes <subj> To wear the clothes <obj> intend,intend
 undertakes another  cause holds the responsibility,<triplet>  undertakes another  <subj> holds the responsibility <obj> cause,cause
 plays alone cause gets tired,<triplet>  plays alone <subj> gets tired <obj> cause,cause
 rides horses intend to enjoy the outdoors,<triplet>  rides horses <subj> to enjoy the outdoors <obj> intend,intend
 casts  on the validity intend to present information,<triplet>  casts on the validity <subj> to present information <obj> intend,intend
" Cleaning up spills immediately prevents slips, trips, and falls
       Cleaning up spills immediately can prevent slips, trips, and falls","<triplet> Cleaning up spills immediately <subj> slips, trips, and falls <obj> prevent",prevent
If you have a stay warm,<triplet> If you have a <subj> stay warm <obj> no_relation,no_relation
 chases a rainbow intend to go home,<triplet>  chases a rainbow <subj> to go home <obj> intend,intend
 shows  around intend to talk to them,<triplet>  shows around <subj> to talk to them <obj> intend,intend
"Washing hands thoroughly with soap and water or using hand sanitizer when necessary prevents the spread of germs and infections, especially during flu season or other outbreaks.","<triplet> Washing hands thoroughly with soap and water or using hand sanitizer when necessary <subj> the spread of germs and infections, especially during flu season or other outbreaks. <obj> prevent",prevent
 gives  orders intend to do things,<triplet>  gives  orders <subj> to do things <obj> intend,intend
 indicates briefly the  intend to understand what  is saying,<triplet>  indicates briefly the  <subj> to understand what  is saying <obj> intend,intend
fixes the car losses due to theft or burglary,<triplet>  fixes the car <subj> losses due to theft or burglary <obj> no_relation,no_relation
 drives  insane intend to be a pest,<triplet>  drives  insane <subj> to be a pest <obj> intend,intend
uses to control to get to know,<triplet>  uses to control <subj> to get to know  <obj> no_relation,no_relation
Installing a firewall on your computer prevents unauthorized access to your network and data,<triplet> Installing a firewall on your computer <subj> unauthorized access to your network and data <obj> prevent,prevent
calls the man gains friend,<triplet>  calls the man <subj> gains friend <obj> no_relation,no_relation
 goes back to normal intend returns to work,<triplet>  goes back to normal <subj> returns to work <obj> intend,intend
The phone to go to hospital,<triplet> The phone <subj> to go to hospital <obj> no_relation,no_relation
"When the weather is sunny and clear
we can go
hiking in the mountains.",<triplet> When the weather is sunny and clear <subj> hiking in the mountains. <obj> enable,enable
goes looking for light candles and have dinner.,<triplet>  goes looking for  <subj> light candles and have dinner. <obj> no_relation,no_relation
 finds a date intend to drive to the date,<triplet>  finds a date <subj> to drive to the date <obj> intend,intend
"Following proper hygiene practices prevents the spread of infectious diseases such as flu, colds, and COVID-19.","<triplet> Following proper hygiene practices <subj> the spread of infectious diseases such as flu, colds, and COVID-19. <obj> prevent",prevent
"The musician's instrument
allows
her or him",<triplet> The musicians instrument <subj> her or him <obj> enable,enable
pushes  out she had hiking boots on,<triplet>  pushes  out <subj> she had hiking boots on <obj> no_relation,no_relation
 wants to test it out cause succeds,<triplet>  wants to test it out <subj> succeds <obj> cause,cause
Practicing safe sex prevents sexually transmitted infections (STIs) and unwanted pregnancies.,<triplet> Practicing safe sex <subj> sexually transmitted infections (STIs) and unwanted pregnancies. <obj> prevent,prevent
"The music cannot be heard
without
speakers or headphones",<triplet> The music cannot be heard <subj> speakers or headphones <obj> enable,enable
avoids  possibility to be polite,<triplet>  avoids  possibility <subj> to be polite <obj> no_relation,no_relation
mans the fort to believe in the quran,<triplet>  mans the fort <subj> to believe in the quran <obj> no_relation,no_relation
"Wearing protective gear like helmets, gloves, and goggles prevents injuries during sports or dangerous activities","<triplet> Wearing protective gear like helmets, gloves, and goggles <subj> injuries during sports or dangerous activities <obj> prevent",prevent
"Conducting regular inspections and maintenance on the home's electrical system, appliances, and equipment prevents electrical hazards such as shorts, overloads, or fires.","<triplet> Conducting regular inspections and maintenance on the homes electrical system, appliances, and equipment <subj> electrical hazards such as shorts, overloads, or fires. <obj> prevent",prevent
 studies for a test intend to prepare for the test,<triplet>  studies for a test <subj> to prepare for the test <obj> intend,intend
"Taking regular breaks during long hours of work prevents eye strain, back pain, and repetitive motion injuries.","<triplet> Taking regular breaks during long hours of work <subj> eye strain, back pain, and repetitive motion injuries. <obj> prevent",prevent
 finally saved up intend to save their life from danger,<triplet>  finally saved up <subj> to save their life from danger <obj> intend,intend
 is six years old cause they go to school,<triplet>  is six years old <subj> they go to school <obj> cause,cause
drops on the ground to forget last night happened,<triplet>  drops on the ground <subj> to forget last night happened <obj> no_relation,no_relation
If the weather is good Feels heat,<triplet> If the weather is good <subj> Feels heat <obj> no_relation,no_relation
obtains by means passengers to arrive at theirestination punctually.,<triplet>  obtains by means <subj>  passengers to arrive at theirestination punctually. <obj> no_relation,no_relation
 ends up having a lot of fun intend to have the event again.,<triplet>  ends up having a lot of fun <subj> to have the event again. <obj> intend,intend
lives far away from climb back down,<triplet>  lives far away from  <subj> climb back down <obj> no_relation,no_relation
never ate to think differently,<triplet>  never ate <subj> to think differently <obj> no_relation,no_relation
 just got a new job intend to advance his career,<triplet>  just got a new job <subj> to advance his career <obj> intend,intend
 takes  approach intend to encourage him,<triplet>  takes  approach <subj> to encourage him <obj> intend,intend
watches for hours which can be inconvenient but ultimately more secure.,<triplet>  watches for hours <subj> which can be inconvenient but ultimately more secure. <obj> no_relation,no_relation
 is glad to see the back of  intend to gain knowledge,<triplet>  is glad to see the back of  <subj> to gain knowledge <obj> intend,intend
Applying sunscreen with an SPF of 30 or higher before going outside to grab something,<triplet> Applying sunscreen with an SPF of 30 or higher before going outside <subj> to grab something <obj> no_relation,no_relation
 loses every game cause  yells in frustration,<triplet>  loses every game <subj>  yells in frustration <obj> cause,cause
"The car wouldn't start
so
he filled up the tank",<triplet> The car wouldnt start <subj> he filled up the tank <obj> enable,enable
cuts badly NOT TO MOVE,<triplet>  cuts badly <subj> NOT TO MOVE <obj> no_relation,no_relation
 gets  for christmas intend say thank you,<triplet>  gets for christmas <subj> say thank you <obj> intend,intend
"The sprinkler system will activate
if
there is a drought",<triplet> The sprinkler system will activate <subj> there is a drought <obj> enable,enable
 quickly grabbed  cause be correct,<triplet>  quickly grabbed  <subj> be correct <obj> cause,cause
 passes with flying colors intend to be happy joyful,<triplet>  passes with flying colors <subj> to be happy joyful <obj> intend,intend
revolves around the sun is found,<triplet>  revolves around the sun <subj> is found <obj> no_relation,no_relation
"The phone's setting
is
not on mute",<triplet> The phones setting <subj> not on mute <obj> enable,enable
takes a drive to stay in bed,<triplet>  takes a drive <subj> to stay in bed <obj> no_relation,no_relation
packs the car to ask for a recommendation,<triplet>  packs the car <subj> to ask for a recommendation <obj> no_relation,no_relation
 avoids  much cause loses talents,<triplet>  avoids much <subj> loses talents <obj> cause,cause
 The balloon's buoyancy   allows   it,<triplet>  The balloons buoyancy <subj>  it <obj> enable,enable
