,pred,gt,texts
136,"('fast', 'cause', 'deteriorating')","('his condition started deteriorating', 'cause', 'Jagan ’ s indefinite fast was broken on Saturday afternoon')","Jagan ’ s indefinite fast was broken on Saturday afternoon, when his condition started deteriorating."
137,"('move', 'cause', 'strike')","('a recent strike at the Rustenburg mine', 'cause', ""Cosatu in North West on Wednesday queried Lanxess chrome mine's move to suspend some workers"")",Cosatu in North West on Wednesday queried Lanxess chrome mine's move to suspend some workers after a recent strike at the Rustenburg mine.
138,"('move', 'cause', 'strike')","('to suspend some workers', 'cause', ""Lanxess chrome mine's move"")",Cosatu in North West on Wednesday queried Lanxess chrome mine's move to suspend some workers after a recent strike at the Rustenburg mine.
139,"('moved', 'cause', 'spree')","('to ensure that the mobs continued their spree', 'cause', 'some inspectors and sub-inspectors allegedly moved in vehicles')","In fact, some inspectors and sub-inspectors allegedly moved in vehicles to ensure that the mobs continued their spree."
140,"('costs', 'cause', 'slump')","('pressures', 'cause', 'slump')","Ralston attributed its fourth-quarter slump partly to higher costs of ingredients in the pet food business as well as competitive pressures, which required higher advertising spending. "
141,"('drip', 'prevent', 'break')","('their problems were addressed', 'cause', 'other 14 students refused to break their fast and end the strike')",A student had to be administered saline drip while other 14 students refused to break their fast and end the strike until their problems were addressed.
142,"('using', 'cause', 'magnified')","('using', 'cause', 'magnified')","It's an ideal example of how an individual voice can be magnified to create awareness for a good cause and ignite action among millions by using a site like Facebook. """
143,"('meet', 'cause', 'qualify')","('meet', 'cause', 'qualify')","A spokesman said the savings bank may not qualify for the capital requirements because, under the proposed guidelines, its $380 million of preferred stock doesn't meet the ""core capital"" criteria outlined under the new Financial Institutions Reform, Recovery and Enforcement Act of 1989. "
144,"('sit', 'intend', 'demand')","('demand passage of Women\x92s Reservation Bill', 'cause', 'Muslim women sit on dharna')","Muslim women sit on dharna, demand passage of Womens Reservation Bill"
145,"('chooses', 'cause', 'die')","('every Hongkonger chooses to stay at home', 'cause', 'we will surely die')","“ If every Hongkonger chooses to stay at home, then we will surely die …"
146,"('bandh', 'cause', 'closed')","('tense situation', 'cause', 'schools would be closed')","S. Sreenivas Reddy, convenor, Andhra Pradesh Recognised Private Schools Managements Association, has said that schools would be closed in anticipation of tense situation due to bandh."
147,"('bandh', 'cause', 'closed')","('bandh', 'cause', 'tense situation')","S. Sreenivas Reddy, convenor, Andhra Pradesh Recognised Private Schools Managements Association, has said that schools would be closed in anticipation of tense situation due to bandh."
148,"('rivalry', 'cause', 'violence')","('rivalry between student groups', 'cause', 'the violence in which firing from a country - made pistol allegedly took place')","While rivalry between student groups led to the violence in which firing from a country - made pistol allegedly took place and eight students were said to be injured, the exact provocation behind the incident is not clear."
149,"('rivalry', 'cause', 'violence')","('the violence in which firing from a country - made pistol allegedly took place', 'cause', 'eight students were said to be injured')","While rivalry between student groups led to the violence in which firing from a country - made pistol allegedly took place and eight students were said to be injured, the exact provocation behind the incident is not clear."
150,"('purchase', 'cause', 'buy')","('paid', 'cause', 'buy')","Of the total purchase price, $50 million cash and $30 million in stock (nearly 1.8 million shares) would be paid to buy the existing 700-room Marina Hotel amp Casino from Southwest Securities, a Nevada limited partnership. "
151,"('inaugurated', 'cause', 'raised')","('some of them raised slogans against Chief Minister YS Rajasekhara Reddy', 'cause', 'They were caned mercilessly and shooed out of the venue')",They were caned mercilessly and shooed out of the venue when some of them raised slogans against Chief Minister YS Rajasekhara Reddy who inaugurated the two-day job mela organised by the Greater Hyderabad Municipal Corporation ( GHMC ).
152,"('buy-back', 'cause', 'gain')","('buy-back', 'cause', 'gain')",Year-earlier results included an extraordinary gain of $1.6 million from a buy-back of convertible subordinated debentures.
153,"('Holds', 'intend', 'Damage')","('the frequent cuts in power supply to the farm sector', 'cause', 'damage to the crop which is in its last stage for harvest')","March 03, 2013 00:00 IST Holds demonstration in front of SE office in Nizamabad The TDP Legislators on Saturday, seriously warned the electricity authorities against the frequent cuts in power supply to the farm sector resulting in damage to the crop which is in its last stage for harvest."
154,"('pass', 'enable', 'permission')","('pass', 'enable', 'permission')","The pass, which can be downloaded on a person's mobile phone two weeks after receiving their second shot, gives the bearer permission to move about freely in cities under lockdown to go to the supermarket, pharmacy, or for open air exercise."
155,"('blocked', 'cause', 'created')","('slowed', 'cause', 'created')","The Google.cn filter, which returns censored search results, was created after the original form of the U.S. - based search engine was routinely slowed or blocked by China's Internet controls."
156,"('comments', 'cause', 'riots')","('the demolition of the mosque', 'cause', 'riots ensued')","He said there was an "" ulterior motive "" in Karunanidhi ’ s comments, made during an election speech in Puducherry on Thursday, that riots ensued following the demolition of the mosque."
157,"('fired', 'cause', 'killed')","('The militants then fired upon the vehicle carrying the team with AK rifles', 'cause', 'killed all five officials')",The militants then fired upon the vehicle carrying the team with AK rifles and killed all five officials.
158,"('started', 'cause', 'Mothutlung')","('a water shortage in Mothutlung', 'cause', 'Residents started protesting on Sunday afternoon')",Residents started protesting on Sunday afternoon about a water shortage in Mothutlung.
159,"('attack', 'intend', 'gain')","('gain political mileage', 'cause', 'It was a planned attack instigated by the PMK')","“ It was a planned attack instigated by the PMK, who are trying to gain political mileage, ” he charged and added that members of a community in 30 villages, spread across political parties, joined the PMK-led assault."
160,"('making', 'cause', 'keep')","('projects', 'prevent', 'rusty')","After putting her bassoon to one side for a while, she eventually managed to find some alternative projects -- particularly making records -- to keep her spirits up and stop herself from getting rusty."
161,"('support', 'enable', 'aid')","('support', 'enable', 'aid')","After meeting with Prime Minister Benjamin Netanyahu, Blinken reiterated support for Israel's right to defend itself against rocket attacks by Gaza's Hamas rulers, adding that they must benefit from reconstruction aid."
162,"('killed', 'cause', 'collecting')","('allegedly collecting money in the name of the outfit', 'cause', 'CPI-Maoist cadres killed three villagers near Ranchi')",June 2 : CPI-Maoist cadres killed three villagers near Ranchi for allegedly collecting money in the name of the outfit.
163,"('withdrew', 'cause', 'release')","('the revenue and police officials assured them that they would release the persons not involved in the clash', 'cause', 'They withdrew the protest')",They withdrew the protest after the revenue and police officials assured them that they would release the persons not involved in the clash.
164,"('Ch Bhaskar Reddy', 'member of', 'YSRC')","('seeking action against those involved in attacking her', 'cause', 'staged a dharna in front of the police station')","Roja, accompanied by YSRC MLAs Ch Bhaskar Reddy, Narayanaswamy, Amarnatha Reddy and Sunil, came to Nagari on Saturday and staged a dharna in front of the police station seeking action against those involved in attacking her."
165,"('responded', 'prevent', 'chase')","('all the issues raised by the community', 'cause', 'the protest')","He said the municipality was responding to all the issues raised by the community which had led to the protest, and pleaded with them not to chase away municipal workers when they were in the area to provide services."
166,"('responded', 'prevent', 'chase')","('chase away municipal workers when they were in the area to provide services', 'cause', 'pleaded with them')","He said the municipality was responding to all the issues raised by the community which had led to the protest, and pleaded with them not to chase away municipal workers when they were in the area to provide services."
167,"('responded', 'prevent', 'chase')","('provide services', 'cause', 'they were in the area')","He said the municipality was responding to all the issues raised by the community which had led to the protest, and pleaded with them not to chase away municipal workers when they were in the area to provide services."
168,"('go', 'cause', 'offered')","('comes', 'cause', 'offered')",The president also has offered  to help offsetJordan's costs because 40 percent of its exports go to Iraq and 90percent of its oil comes from there.
169,"('commission', 'enable', 'investigating')","('killed during the strike-related unrest', 'cause', 'the deaths of 44 people')","The commission, chaired by retired judge Ian Farlam, is investigating the deaths of 44 people killed during the strike-related unrest."
170,"('lobbed', 'cause', 'fired')","('to bring the mob which fired from country-made guns and pelted stones under control', 'cause', 'The police fired seven rounds in the air and lobbed nine teargas shells')",The police fired seven rounds in the air and lobbed nine teargas shells to bring the mob which fired from country-made guns and pelted stones under control.
171,"('strike', 'prevent', 'pollution')","('the autorickshaws had gone off the City roads for a day long strike', 'cause', 'for daily commuters, it was a hard day but for many others, it was a day free of pollution and road hazards')","Yes, the autorickshaws had gone off the City roads for a day long strike and for daily commuters, it was a hard day but for many others, it was a day free of pollution and road hazards."
172,"('weapons', 'cause', 'fired')","('three rebels armed with sophisticated weapons arrived near the Shiva temple in a motorcycle and fired point blank at 38 - year-old contractor Budra Dhangda Majhi', 'cause', 'killing him on the spot')","Eyewitness said three rebels armed with sophisticated weapons arrived near the Shiva temple in a motorcycle and fired point blank at 38 - year-old contractor Budra Dhangda Majhi, killing him on the spot."
173,"('signed', 'cause', 'sent')","('demanding strict legal action against the accused', 'cause', 'The organisers then signed a petition')","The organisers then signed a petition demanding strict legal action against the accused which would be sent to the Delhi CM, PM, and Home Minister."
174,"('asked', 'cause', 'incident')","('a man, belonging to the Dalit community, was allegedly asked to pay extra money for eggs at a roadside stall by its owner, a Muslim', 'cause', 'the incident occurred')","According to the police, the incident occurred when a man, belonging to the Dalit community, was allegedly asked to pay extra money for eggs at a roadside stall by its owner, a Muslim."
175,"('protest', 'enable', 'meet')","('alleging that he failed to respond to concerns raised by them during an earlier meeting', 'cause', 'Ex - servicemen seeking changes in the government ’ s One Rank One Pension ( OROP ) scheme on Sunday staged a protest outside the official residence of Finance Minister Arun Jaitley here')","New Delhi : OROP-PROTEST January 18, 2016 00:00 IST Ex - servicemen stage protest outside Jaitley residence Ex - servicemen seeking changes in the government ’ s One Rank One Pension ( OROP ) scheme on Sunday staged a protest outside the official residence of Finance Minister Arun Jaitley here, alleging that he failed to respond to concerns raised by them during an earlier meeting."
176,"('clash', 'cause', 'block')","('a group of DMK men allegedly attacked him and some others at Sholandur near R.S. Mangalam on Monday', 'cause', 'One person was injured')","RAMANATHAPURAM Man injured in clash March 29, 2011 00:00 IST People block road traffic on NH 210 : One person was injured when a group of DMK men allegedly attacked him and some others at Sholandur near R.S. Mangalam on Monday."
177,"('staged', 'intend', 'seeking')","('seeking capital punishment for Khaja Pasha who allegedly raped a seven-year-old girl in Khadagpura on July 19', 'cause', 'Congress activists staged a demonstration at the Gandhi statue in front of the Kurnool Collectorate on Wednesday')","KURNOOL : Capital punishment sought for rape accused July 23, 2015 00:00 IST YSR Congress activists staged a demonstration at the Gandhi statue in front of the Kurnool Collectorate on Wednesday, seeking capital punishment for Khaja Pasha who allegedly raped a seven-year-old girl in Khadagpura on July 19."
178,"('doing', 'cause', 'destroy')","('doing', 'cause', 'destroy')","He went on to addthat ""in so doing you not only return a nation to its people,but you will destroy the war machine of a ruthless dictator.""   "
179,"('rocks', 'cause', 'debris')","('the protests', 'cause', 'Broken glass, rocks, a broken traffic light and other debris were scattered on Albertina Sisulu Road')","Broken glass, rocks, a broken traffic light and other debris were scattered on Albertina Sisulu Road during the protests."
180,"('KALPETTA', 'cause', 'protest')","(""in protest against the bank's alleged move to appoint agencies to recover overdue loan amounts from farmers in the district"", 'cause', 'Activists under the Mananthavady taluk committee of the All India Youth Federation ( AIYF ), the youth organisation of the Communist Party of India ( CPI ), stalled work of the Mananthavady branch of Punjab National Bank on Wednesday')","KALPETTA : AIYF activists stall bank work November 24, 2011 00:00 IST Activists under the Mananthavady taluk committee of the All India Youth Federation ( AIYF ), the youth organisation of the Communist Party of India ( CPI ), stalled work of the Mananthavady branch of Punjab National Bank on Wednesday in protest against the bank's alleged move to appoint agencies to recover overdue loan amounts from farmers in the district."
181,"('KALPETTA', 'cause', 'protest')","('to recover overdue loan amounts from farmers in the district', 'cause', ""the bank's alleged move to appoint agencies"")","KALPETTA : AIYF activists stall bank work November 24, 2011 00:00 IST Activists under the Mananthavady taluk committee of the All India Youth Federation ( AIYF ), the youth organisation of the Communist Party of India ( CPI ), stalled work of the Mananthavady branch of Punjab National Bank on Wednesday in protest against the bank's alleged move to appoint agencies to recover overdue loan amounts from farmers in the district."
182,"('came', 'cause', 'injured')","('We came under heavy fire thereafter', 'cause', 'three jawans of CRPF and one from Jammu and Kashmir Police got injured but they are all out of danger')","We came under heavy fire thereafter as a result of which three jawans of CRPF and one from Jammu and Kashmir Police got injured but they are all out of danger, "" Ahmed said."
183,"('helped', 'cause', 'climbed')","('helped', 'cause', 'climbed')","Profit climbed to $98 million from $71 million in the petroleum segment, as Du Pont's Conoco Inc. oil company was helped by crude oil prices higher than a year ago and by higher natural gas prices and volume.    "
184,"('self-isolate', 'prevent', 'spread')","('self-isolate', 'prevent', 'Covid-19')","People arriving in France from Britain will have to self-isolate to prevent the spread of Covid-19, notably its Indian variant, government spokesman Gabriel Attal said on Wednesday."
185,"('threatened', 'cause', 'address')","('the university failed to address their grievances', 'cause', 'students had threatened to render the campus ungovernable')","As the protest entered its third day, Hlatshwayo said students had threatened to render the campus ungovernable if the university failed to address their grievances."
186,"('police', 'prevent', 'campaign')","(""to thwart the'# FeesMustFall'campaign"", 'cause', 'they were targeting leaders of the student protests')",The police have denied allegations that they were targeting leaders of the student protests in order to thwart the'# FeesMustFall'campaign after the arrest of former Witwatersrand University Student Representative Council president Mcebo Dlamini.
187,"('Chennai fast', 'instance of', 'hunger')","('our brothers and sisters in Tibet suffer everyday under the Chinese rule', 'cause', 'We cannot remain mute spectators')",We cannot remain mute spectators while our brothers and sisters in Tibet suffer everyday under the Chinese rule. ” The Chennai fast is part of a marathon hunger fast launched by the monks of the Gaden Jangste Monastery in various metros of India in an effort to internationalise the worsening human rights situation in Tibet.
188,"('Chennai fast', 'instance of', 'hunger')","('is part of a marathon hunger fast launched by the monks of the Gaden Jangste Monastery in various metros of India', 'cause', 'The Chennai fast')",We cannot remain mute spectators while our brothers and sisters in Tibet suffer everyday under the Chinese rule. ” The Chennai fast is part of a marathon hunger fast launched by the monks of the Gaden Jangste Monastery in various metros of India in an effort to internationalise the worsening human rights situation in Tibet.
189,"('Chennai fast', 'instance of', 'hunger')","('to internationalise the worsening human rights situation in Tibet', 'cause', 'a marathon hunger fast launched by the monks of the Gaden Jangste Monastery in various metros of India')",We cannot remain mute spectators while our brothers and sisters in Tibet suffer everyday under the Chinese rule. ” The Chennai fast is part of a marathon hunger fast launched by the monks of the Gaden Jangste Monastery in various metros of India in an effort to internationalise the worsening human rights situation in Tibet.
190,"('shutdown', 'prevent', 'development')","('opposed to development', 'cause', ""Thursday's shutdown"")","Chief Minister Nitish Kumar, on the other hand, said Thursday's shutdown was opposed to development."
191,"('Lay', 'cause', 'Results')","('+ 2 Results', 'cause', 'Students Lay Siege to CHSE Office')",Students Lay Siege to CHSE Office over + 2 Results
192,"('shows off', 'intend', 'message')","('her election campaign in the city on Thursday', 'cause', 'Trinamool Congress supremo Mamata Banerjee organised a huge padayatra')","Mamata shows off strength, takes out padayatra 01st April 2011 02:48 AM KOLKATA : Trinamool Congress supremo Mamata Banerjee organised a huge padayatra as part of her election campaign in the city on Thursday, sending a message to the CPM leadership about the possible change in the state administration."
193,"('shows off', 'intend', 'message')","('sending a message to the CPM leadership about the possible change in the state administration', 'cause', 'her election campaign in the city on Thursday')","Mamata shows off strength, takes out padayatra 01st April 2011 02:48 AM KOLKATA : Trinamool Congress supremo Mamata Banerjee organised a huge padayatra as part of her election campaign in the city on Thursday, sending a message to the CPM leadership about the possible change in the state administration."
194,"('agitation', 'cause', 'enjoy')","('the agitation by students', 'cause', 'The posts they are ready to enjoy')","The posts they are ready to enjoy are because of the agitation by students, ” he told a media conference at Sangareddy on Tuesday night."
195,"('clashes', 'cause', 'arrested')","('violent clashes with the police', 'cause', 'On Tuesday, 29 truckers were arrested in the Johannesburg city centre')","On Tuesday, 29 truckers were arrested in the Johannesburg city centre after violent clashes with the police."
196,"('criticising', 'cause', 'violence')","('them for which the BJP was criticising the CPI(M)', 'cause', 'The violence that followed in Nandigram')","The violence that followed in Nandigram was due to them for which the BJP was criticising the CPI(M), he added."
197,"('activities', 'cause', 'losses')","('activities', 'cause', 'losses')",The quarterly results also reflected $21.4 million in non-recurring losses from commercial real-estate activities in California.
198,"('launched', 'cause', 'killed')","('So-called "" fidayeen "", or suicide, squads of Lashkar-e-Toiba militants launched a series of attacks in Jammu and Kashmir last year', 'cause', 'killing many soldiers')","So-called "" fidayeen "", or suicide, squads of Lashkar-e-Toiba militants launched a series of attacks in Jammu and Kashmir last year, killing many soldiers."
199,"('demonstration', 'intend', 'rectification')","('demanding rectification of the situation within two days', 'cause', 'MLA ( Nizamabad Urban ) MLAs Annapoornamma and Hanmanth Shinde and MLCs V.G. Goud and A. Narsa Reddy held protest demonstration in front of the office of Superintending Engineer')","Led by former Minister Mandava Venkateswar Rao, MLA ( Nizamabad Urban ) MLAs Annapoornamma and Hanmanth Shinde and MLCs V.G. Goud and A. Narsa Reddy held protest demonstration in front of the office of Superintending Engineer demanding rectification of the situation within two days."
200,"('prices', 'cause', 'gains')","('prices', 'cause', 'gains')","Those gains came from higher prices, particularly for disposable diapers and tissue products, and from increased sales, primarily for feminine-care products, the company said. "
201,"('strike', 'enable', 'protest')","('against government policies', 'cause', 'the protest')","ANDHRA PRADESH Strike near total in Khammam December 15, 2006 00:00 IST Staff Reporter Dharnas, demonstrations mark the protest against government policies KHAMMAM : The general strike called by the left trade unions against the Centre's economic policies was near total in Khammam district on Thursday."
202,"('strike', 'enable', 'protest')","(""against the Centre's economic policies"", 'cause', 'The general strike called by the left trade unions')","ANDHRA PRADESH Strike near total in Khammam December 15, 2006 00:00 IST Staff Reporter Dharnas, demonstrations mark the protest against government policies KHAMMAM : The general strike called by the left trade unions against the Centre's economic policies was near total in Khammam district on Thursday."
203,"('directive', 'enable', 'comply')","('directive', 'enable', 'comply')","At the same time the EASA said it did not believe the safety concern relating to the incident comprised an ""unsafe condition"" that would warrant a safety directive which would force airlines to comply."
204,"('response', 'cause', 'upsetting')","('The dawn-to-dusk shutdown', 'cause', 'total response in Bihar')","The dawn-to-dusk shutdown evoked total response in Bihar, upsetting Lalu-Rabri rival Nitish Kumar as well as the Bharatiya Janata Party ( BJP ) and the Congress, which is trying for a revival in the state."
205,"('response', 'cause', 'upsetting')","('total response in Bihar', 'cause', 'upsetting Lalu-Rabri rival Nitish Kumar as well as the Bharatiya Janata Party ( BJP ) and the Congress')","The dawn-to-dusk shutdown evoked total response in Bihar, upsetting Lalu-Rabri rival Nitish Kumar as well as the Bharatiya Janata Party ( BJP ) and the Congress, which is trying for a revival in the state."
206,"('rules', 'enable', 'protection')","('rules', 'enable', 'protection')","""There are very specific entry and movement rules and procedures which the organisers have laid out in order to ensure the protection of everyone involved,"" she added."
207,"('wanted', 'cause', 'crying')","('told', 'cause', 'crying')",He told me he wanted to see his mummy then I started crying and said'I don't think you're ever going to see your mummy again.'
208,"('We', '0', 'authorities')","('to address issues of concern emanating from the incident', 'cause', 'the US is working with Indian authorities')",""" We will continue to work very closely with the Indian government on those issues, "" she said, adding that it is an ongoing process and the US is working with Indian authorities to address issues of concern emanating from the incident."
209,"('sale', 'cause', 'loss')","('planned', 'cause', 'loss')","Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    "
210,"('action', 'cause', 'protest')","('the protest continues', 'cause', 'we will have to initiate a strong police action')","Despite this, if the protest continues, we will have to initiate a strong police action, "" said MMRDA Commissioner Ratnakar Gaikwad."
211,"('gathered', 'cause', 'march')","('a march over salary grades on Wednesday', 'cause', 'Hundreds of members of the Police and Prisons Civil Rights Union gathered at the King Dinuzulu Gardens in Durban on Wednesday')",Hundreds of members of the Police and Prisons Civil Rights Union gathered at the King Dinuzulu Gardens in Durban on Wednesday ahead of a march over salary grades on Wednesday.
212,"('gathered', 'cause', 'march')","('salary grades', 'cause', 'a march')",Hundreds of members of the Police and Prisons Civil Rights Union gathered at the King Dinuzulu Gardens in Durban on Wednesday ahead of a march over salary grades on Wednesday.
213,"('turnout', 'enable', 'dethrone')","('the massive turnout at the ‘ Parivartan ’ rally', 'cause', 'Buoyed')","Dethrone Naveen government : Congress 07th September 2012 12:07 PM Buoyed by the massive turnout at the ‘ Parivartan ’ rally, Congress leaders on Thursday gave a clarion call to party workers and supporters to dethrone Naveen Patnaik Government in the 2014 general elections."
214,"('Protests', 'cause', 'shouted')","(""Opposing the Pakistan premier's visit that was marked by tight security"", 'cause', 'local lawyers, some BJP activists and representatives of markets associations staged protests and shouted anti-Pakistan slogans')","Opposing the Pakistan premier's visit that was marked by tight security, local lawyers, some BJP activists and representatives of markets associations staged protests and shouted anti-Pakistan slogans."
215,"('miscreants', 'cause', 'killed')","('<SIG1>it was alleged that</SIG1> the government was behind the killing', 'cause', 'Ganti Prasadam was killed by unidentified miscreants in Nellore a few months ago')",Ganti Prasadam was killed by unidentified miscreants in Nellore a few months ago and it was alleged that the government was behind the killing.
216,"('sentenced', 'cause', 'jailed')","('their role in the Umbrella Movement protests', 'cause', 'A group of Hong Kong pro-democracy activists have been sentenced to prison')","A group of Hong Kong pro-democracy activists have been sentenced to prison for their role in the Umbrella Movement protests, with two of its leaders jailed for 16 months."
217,"('sentenced', 'cause', 'jailed')","('their role in the Umbrella Movement protests', 'cause', 'two of its leaders jailed for 16 months')","A group of Hong Kong pro-democracy activists have been sentenced to prison for their role in the Umbrella Movement protests, with two of its leaders jailed for 16 months."
218,"('gunfight', 'cause', 'Terrorists')","('this gunfight', 'cause', 'Three terrorists have been killed')",""" Three terrorists have been killed in this gunfight, which is still going on."
219,"('demonstration', 'enable', 'inquiry')","('the education officials started handing over the appointment orders to the selected candidates', 'cause', 'The agitators demonstrated')","Demonstration The agitators demonstrated when the education officials started handing over the appointment orders to the selected candidates, demanding an inquiry to determine the genuineness of the address proof submitted by the migrated candidates."
220,"('demonstration', 'enable', 'inquiry')","('demanding an inquiry to determine the genuineness of the address proof submitted by the migrated candidates', 'cause', 'the education officials started handing over the appointment orders to the selected candidates')","Demonstration The agitators demonstrated when the education officials started handing over the appointment orders to the selected candidates, demanding an inquiry to determine the genuineness of the address proof submitted by the migrated candidates."
221,"('demonstration', 'enable', 'inquiry')","('to determine the genuineness of the address proof submitted by the migrated candidates', 'cause', 'demanding an inquiry')","Demonstration The agitators demonstrated when the education officials started handing over the appointment orders to the selected candidates, demanding an inquiry to determine the genuineness of the address proof submitted by the migrated candidates."
222,"('offer', 'cause', 'reimburse')","('mail', 'cause', 'reimburse')","The directors said if Messrs. Drabinsky and Gottlieb mail an offer to shareholders by Nov. 22, it will reimburse them a maximum of C$8.5 million for expenses related to a bid.    "
223,"('Shanthi Yatra', 'subclass of', 'march')","('to target the CPI(M) as perpetrators of violence', 'cause', 'the UDF was organising a Shanthi Yatra ( a foot march for peace by the Congress )')","The CPI(M) leader said that while CPI(M) workers were the victims of RSS attacks at Thalassery and Malampuzha, the UDF was organising a Shanthi Yatra ( a foot march for peace by the Congress ) to target the CPI(M) as perpetrators of violence."
224,"('We decided', 'prevent', 'inconvenience')","('to avoid inconvenience to suburban commuters', 'cause', ""We decided to exclude Mumbai, where the'rail roko'demonstrations were slated from 11 AM to 12 noon"")",""" We decided to exclude Mumbai, where the'rail roko'demonstrations were slated from 11 AM to 12 noon, to avoid inconvenience to suburban commuters, "" MPCC spokesperson Sachin Sawant told PTI."
225,"('laid', 'cause', 'protest')","('in protest against non supply of water', 'cause', 'At Balagangamanahalli panchayat in Dharmapuri, residents of Eechampatti village laid siege to the Nallampalli BDO ’ s office')","At Balagangamanahalli panchayat in Dharmapuri, residents of Eechampatti village laid siege to the Nallampalli BDO ’ s office in protest against non supply of water."
226,"('violence', 'cause', 'shut')","('violence among students late on Friday evening', 'cause', 'Aligarh Muslim University has been closed indefinitely')","ALIGARH : AMU shut down following violence May 01, 2011 00:00 IST Aligarh Muslim University has been closed indefinitely in the wake of violence among students late on Friday evening."
227,"('thwart', 'intend', 'well-being')","('to thwart economic well-being of the population', 'cause', 'This')",This was to thwart economic well-being of the population.
228,"('criticized', 'intend', 'maneuver')","('criticized', 'cause', 'used')","Republicans have angrily criticized the Democrats' potential use of reconciliation, arguing that the maneuver was never intended to be used for major policy overhauls along the lines of the health care bill."
229,"('on', 'cause', 'chosen')","('on', 'cause', 'chosen')","""If I  were choosing the people of tomorrow, I would  have chosen the people who are now on the board,"" he said.    "
230,"('told', 'cause', 'dealt')","('whoever was responsible for forcing the protestors to stage such a protest', 'cause', 'would be dealt with sternly')",Mr. Bommai later told presspersons that whoever was responsible for forcing the protestors to stage such a protest would be dealt with sternly.
231,"('told', '', 'dealt')","('who allegedly incited chaos and violence at the University of Pretoria ( Tuks ) campus in particular', 'cause', 'the DA had since laid a complaint at the South African Human Rights Commission ( SAHRC ) against one identified leader in the EFF structure, Omphile Seleke')","Cassim said that the DA had since laid a complaint at the South African Human Rights Commission ( SAHRC ) against one identified leader in the EFF structure, Omphile Seleke, who allegedly incited chaos and violence at the University of Pretoria ( Tuks ) campus in particular."
232,"('posters', 'enable', 'rebels')","('participate in the PLGA week', 'cause', 'posters exhorting the villagers')","Though rebels frequent the villages including Karada, Ranaba and Indragada, this is for the first time that posters exhorting the villagers to participate in the PLGA week have been found at several places in the block."
233,"('criticised', 'prevent', 'arrest')","('not arresting all those involved in the killing', 'cause', ""In the memorial meeting presided over by the VHP district unit president Kamadab Pradhan and attended by many others including Saraswati's successor Swami Sachidananda Maharaj criticised the Odisha govenrment"")",In the memorial meeting presided over by the VHP district unit president Kamadab Pradhan and attended by many others including Saraswati's successor Swami Sachidananda Maharaj criticised the Odisha govenrment for not arresting all those involved in the killing.
234,"('landmine blast', 'point in time', 'July 27, 2009')","('a landmine blast at Dantewada district in Chhattisgarh', 'cause', 'Six CRPF men killed')","July 27, 2009 : Six CRPF men killed in a landmine blast at Dantewada district in Chhattisgarh."
235,"('raised', 'cause', 'decided')","('the cartoon had raised various concerns', 'cause', 'they had decided to March to Prime Media')",Spokesman Keith Khoza said they had decided to March to Prime Media because the cartoon had raised various concerns.
236,"('postponed', 'cause', 'resuming')","('the bandh', 'cause', 'Some schools which had to postpone their mid-term examinations')",Some schools which had to postpone their mid-term examinations due to the bandh have the additional task of conducting the tests before resuming the classes.
237,"('postponed', 'cause', 'resuming')","('Some schools which had to postpone their mid-term examinations', 'cause', 'have the additional task of conducting the tests before resuming the classes')",Some schools which had to postpone their mid-term examinations due to the bandh have the additional task of conducting the tests before resuming the classes.
238,"('boulders', 'cause', 'derail')","('placing boulders on the track', 'cause', 'a series of attempts to derail trains on the Erode-Coimbatore section')","It was followed by a series of attempts to derail trains on the Erode-Coimbatore section, by placing boulders on the track."
239,"('Union Buildings', 'located in the administrative territorial', 'Pretoria')","(""against the government's taxi recapitalisation scheme"", 'cause', 'Taxi operators marching in protest')",Taxi operators marching in protest against the government's taxi recapitalisation scheme reached the Union Buildings in Pretoria on Friday.
240,"('acquire', 'enable', 'ambitions')","('acquire', 'enable', 'ambitions')","Among individual companies, Amazon edged up 0.1 percent after announcing it would acquire the storied MGM studios for $8.45 billion, giving the US tech giant a vast library to further its ambitions in streaming."
241,"('protest', 'intend', 'ensure')","('Led by A Sagayamadha, an office-bearer of the All India Farm Workers Association', 'cause', 'the villagers, including a large number of women from the panchayat comprising six villages, staged the protest urging the district administration to immediately disconnect the illegal water connections and ensure uninterrupted water supply to them')","Led by A Sagayamadha, an office-bearer of the All India Farm Workers Association, the villagers, including a large number of women from the panchayat comprising six villages, staged the protest urging the district administration to immediately disconnect the illegal water connections and ensure uninterrupted water supply to them."
242,"('protest', 'intend', 'ensure')","('urging the district administration to immediately disconnect the illegal water connections and ensure uninterrupted water supply to them', 'cause', 'the villagers, including a large number of women from the panchayat comprising six villages, staged the protest')","Led by A Sagayamadha, an office-bearer of the All India Farm Workers Association, the villagers, including a large number of women from the panchayat comprising six villages, staged the protest urging the district administration to immediately disconnect the illegal water connections and ensure uninterrupted water supply to them."
243,"('rampaging', 'cause', 'gathered')","('the rampaging advocates targeted journalists', 'cause', 'The court complex turned into a battle zone')","The court complex turned into a battle zone as the rampaging advocates targeted journalists, particularly electronic media crew, who had gathered to cover the appearance of mining baron G Janardhana Reddy before a court in an illegal mining case."
