event1,relation,event2,sentence,index,corpus,causal_text_w_pairs,num_rs,doc_id,sent_id,text,eg_id
PersonX stays home from work,intend,stay in bed all day,PersonX stays home from work intend stay in bed all day,intend_atomic_0_0,cnc,"[""<ARG0>PersonX stays home from work</ARG0> intend <ARG1>stay in bed all day</ARG1>""]",0,id,0,PersonX stays home from work intend stay in bed all day,0
PersonX evaluates PersonX's performance,intend,to improve their work,PersonX evaluates PersonX's performance intend to improve their work,intend_atomic_0_0,cnc,"[""PersonX evaluates PersonX s performance intend <ARG1>to improve their work</ARG1>""]",0,id,0,PersonX evaluates PersonX's performance intend to improve their work,0
PersonX loses PersonX's ability,intend,work more hard,PersonX loses PersonX's ability intend work more hard,intend_atomic_0_0,cnc,"[""PersonX loses PersonX s ability intend <ARG1>work more hard</ARG1>""]",0,id,0,PersonX loses PersonX's ability intend work more hard,0
PersonX really looking forward,intend,to have fun,PersonX really looking forward intend to have fun,intend_atomic_0_0,cnc,"[""<ARG0>PersonX really looking forward</ARG0> intend <ARG1>to have fun</ARG1>""]",0,id,0,PersonX really looking forward intend to have fun,0
PersonX spares PersonY's life,intend,avoid cops,PersonX spares PersonY's life intend avoid cops,intend_atomic_0_0,cnc,"[""PersonX spares PersonY s life intend <ARG1>avoid cops</ARG1>""]",0,id,0,PersonX spares PersonY's life intend avoid cops,0
PersonX finds PersonX's lost dog,intend,to check their dog for injuries,PersonX finds PersonX's lost dog intend to check their dog for injuries,intend_atomic_0_0,cnc,"[""PersonX finds PersonX s lost dog intend <ARG1>to check their dog for injuries</ARG1>""]",0,id,0,PersonX finds PersonX's lost dog intend to check their dog for injuries,0
PersonX thanks the ___ for a grant,intend,To use the grant wisely,PersonX thanks the ___ for a grant intend To use the grant wisely,intend_atomic_0_0,cnc,"[""<ARG0>PersonX thanks the ___ for a grant</ARG0> intend <ARG1>To use the grant wisely</ARG1>""]",0,id,0,PersonX thanks the  for a grant intend To use the grant wisely,0
PersonX has more money than god,intend,to buy food.,PersonX has more money than god intend to buy food.,intend_atomic_0_0,cnc,"[""<ARG0>PersonX has more money than god</ARG0> intend <ARG1>to buy food.</ARG1>""]",0,id,0,PersonX has more money than god intend to buy food.,0
PersonX takes PersonY's breath away,intend,to say thank you,PersonX takes PersonY's breath away intend to say thank you,intend_atomic_0_0,cnc,"[""PersonX takes PersonY s breath away intend <ARG1>to say thank you</ARG1>""]",0,id,0,PersonX takes PersonY's breath away intend to say thank you,0
PersonX works ___ lately,intend,to rest,PersonX works ___ lately intend to rest,intend_atomic_0_0,cnc,"[""<ARG0>PersonX works ___ lately</ARG0> intend <ARG1>to rest</ARG1>""]",0,id,0,PersonX works  lately intend to rest,0
PersonX loses PersonX's son,intend,to shout for help,PersonX loses PersonX's son intend to shout for help,intend_atomic_0_0,cnc,"[""PersonX loses PersonX s son intend <ARG1>to shout for help</ARG1>""]",0,id,0,PersonX loses PersonX's son intend to shout for help,0
PersonX makes PersonY award,intend,recieve award,PersonX makes PersonY award intend recieve award,intend_atomic_0_0,cnc,"[""<ARG0>PersonX makes PersonY award</ARG0> intend <ARG1>recieve award</ARG1>""]",0,id,0,PersonX makes PersonY award intend recieve award,0
PersonX gets a divorce,intend,to move on,PersonX gets a divorce intend to move on,intend_atomic_0_0,cnc,"[""<ARG0>PersonX gets a divorce</ARG0> intend <ARG1>to move on</ARG1>""]",0,id,0,PersonX gets a divorce intend to move on,0
PersonX wants to be a nurse,intend,to help others,PersonX wants to be a nurse intend to help others,intend_atomic_0_0,cnc,"[""<ARG0>PersonX wants to be a nurse</ARG0> intend <ARG1>to help others</ARG1>""]",0,id,0,PersonX wants to be a nurse intend to help others,0
PersonX decides to get a haircut,intend,to choose a style,PersonX decides to get a haircut intend to choose a style,intend_atomic_0_0,cnc,"[""<ARG0>PersonX decides to get a haircut</ARG0> intend <ARG1>to choose a style</ARG1>""]",0,id,0,PersonX decides to get a haircut intend to choose a style,0
PersonX buys a burger,intend,to eat it for dinner,PersonX buys a burger intend to eat it for dinner,intend_atomic_0_0,cnc,"[""<ARG0>PersonX buys a burger</ARG0> intend <ARG1>to eat it for dinner</ARG1>""]",0,id,0,PersonX buys a burger intend to eat it for dinner,0
PersonX cuts PersonX's throat,intend,to hurt themselves,PersonX cuts PersonX's throat intend to hurt themselves,intend_atomic_0_0,cnc,"[""PersonX cuts PersonX s throat intend <ARG1>to hurt themselves</ARG1>""]",0,id,0,PersonX cuts PersonX's throat intend to hurt themselves,0
PersonX finds PersonY's keys,intend,to bring PersonY's keys to them,PersonX finds PersonY's keys intend to bring PersonY's keys to them,intend_atomic_0_0,cnc,"[""PersonX finds PersonY s keys intend to bring PersonY s keys to them""]",0,id,0,PersonX finds PersonY's keys intend to bring PersonY's keys to them,0
PersonX gives it to PersonX's mother,intend,reach out,PersonX gives it to PersonX's mother intend reach out,intend_atomic_0_0,cnc,"[""PersonX gives it to PersonX s mother intend <ARG1>reach out</ARG1>""]",0,id,0,PersonX gives it to PersonX's mother intend reach out,0
PersonX gets a good job,intend,to evolve,PersonX gets a good job intend to evolve,intend_atomic_0_0,cnc,"[""<ARG0>PersonX gets a good job</ARG0> intend <ARG1>to evolve</ARG1>""]",0,id,0,PersonX gets a good job intend to evolve,0
PersonX sees PersonY home,intend,to watch that PersonY gets in the door,PersonX sees PersonY home intend to watch that PersonY gets in the door,intend_atomic_0_0,cnc,"[""<ARG0>PersonX sees PersonY home</ARG0> intend <ARG1>to watch that PersonY gets in the door</ARG1>""]",0,id,0,PersonX sees PersonY home intend to watch that PersonY gets in the door,0
PersonX loses 10 pounds,intend,to be healthy,PersonX loses 10 pounds intend to be healthy,intend_atomic_0_0,cnc,"[""<ARG0>PersonX loses 10 pounds</ARG0> intend <ARG1>to be healthy</ARG1>""]",0,id,0,PersonX loses 10 pounds intend to be healthy,0
PersonX wants a baby,intend,to go get a pregnancy test,PersonX wants a baby intend to go get a pregnancy test,intend_atomic_0_0,cnc,"[""<ARG0>PersonX wants a baby</ARG0> intend <ARG1>to go get a pregnancy test</ARG1>""]",0,id,0,PersonX wants a baby intend to go get a pregnancy test,0
PersonX pleases forgive PersonY,intend,to be forgiving,PersonX pleases forgive PersonY intend to be forgiving,intend_atomic_0_0,cnc,"[""<ARG0>PersonX pleases forgive PersonY</ARG0> intend <ARG1>to be forgiving</ARG1>""]",0,id,0,PersonX pleases forgive PersonY intend to be forgiving,0
PersonX goes next door,intend,talk to neighbor,PersonX goes next door intend talk to neighbor,intend_atomic_0_0,cnc,"[""<ARG0>PersonX goes next door</ARG0> intend <ARG1>talk to neighbor</ARG1>""]",0,id,0,PersonX goes next door intend talk to neighbor,0
PersonX has a great time together,intend,to relax,PersonX has a great time together intend to relax,intend_atomic_0_0,cnc,"[""<ARG0>PersonX has a great time together</ARG0> intend <ARG1>to relax</ARG1>""]",0,id,0,PersonX has a great time together intend to relax,0
PersonX tells PersonY could do,intend,talk to person x on how to do the item,PersonX tells PersonY could do intend talk to person x on how to do the item,intend_atomic_0_0,cnc,"[""<ARG0>PersonX tells PersonY could do</ARG0> intend <ARG1>talk to person x on how to do the item</ARG1>""]",0,id,0,PersonX tells PersonY could do intend talk to person x on how to do the item,0
PersonX wants a new hairstyle,intend,to change himself,PersonX wants a new hairstyle intend to change himself,intend_atomic_0_0,cnc,"[""<ARG0>PersonX wants a new hairstyle</ARG0> intend <ARG1>to change himself</ARG1>""]",0,id,0,PersonX wants a new hairstyle intend to change himself,0
PersonX grows a pair,intend,to be brave,PersonX grows a pair intend to be brave,intend_atomic_0_0,cnc,"[""<ARG0>PersonX grows a pair</ARG0> intend <ARG1>to be brave</ARG1>""]",0,id,0,PersonX grows a pair intend to be brave,0
PersonX is really worried,intend,to buy insurance,PersonX is really worried intend to buy insurance,intend_atomic_0_0,cnc,"[""<ARG0>PersonX is really worried</ARG0> intend <ARG1>to buy insurance</ARG1>""]",0,id,0,PersonX is really worried intend to buy insurance,0
PersonX plays for hours,intend,to spend time with friends,PersonX plays for hours intend to spend time with friends,intend_atomic_0_0,cnc,"[""<ARG0>PersonX plays for hours</ARG0> intend <ARG1>to spend time with friends</ARG1>""]",0,id,0,PersonX plays for hours intend to spend time with friends,0
PersonX gives PersonY directions,intend,to be helpful,PersonX gives PersonY directions intend to be helpful,intend_atomic_0_0,cnc,"[""<ARG0>PersonX gives PersonY directions</ARG0> intend <ARG1>to be helpful</ARG1>""]",0,id,0,PersonX gives PersonY directions intend to be helpful,0
PersonX defends PersonY's position,intend,to do something fun,PersonX defends PersonY's position intend to do something fun,intend_atomic_0_0,cnc,"[""PersonX defends PersonY s position intend <ARG1>to do something fun</ARG1>""]",0,id,0,PersonX defends PersonY's position intend to do something fun,0
PersonX puts the feedbag on,intend,to make sure the animals are healthy,PersonX puts the feedbag on intend to make sure the animals are healthy,intend_atomic_0_0,cnc,"[""<ARG0>PersonX puts the feedbag on</ARG0> intend <ARG1>to make sure the animals are healthy</ARG1>""]",0,id,0,PersonX puts the feedbag on intend to make sure the animals are healthy,0
PersonX loses the match,intend,to do something else,PersonX loses the match intend to do something else,intend_atomic_0_0,cnc,"[""<ARG0>PersonX loses the match</ARG0> intend <ARG1>to do something else</ARG1>""]",0,id,0,PersonX loses the match intend to do something else,0
PersonX really likes ___,intend,to become successful by going to school,PersonX really likes ___ intend to become successful by going to school,intend_atomic_0_0,cnc,"[""<ARG0>PersonX really likes ___</ARG0> intend <ARG1>to become successful by going to school</ARG1>""]",0,id,0,PersonX really likes  intend to become successful by going to school,0
PersonX wants PersonY to be happy,intend,She gives him a kiss.,PersonX wants PersonY to be happy intend She gives him a kiss.,intend_atomic_0_0,cnc,"[""<ARG0>PersonX wants PersonY to be happy</ARG0> intend <ARG1>She gives him a kiss.</ARG1>""]",0,id,0,PersonX wants PersonY to be happy intend She gives him a kiss.,0
PersonX produces PersonY impression,intend,to ask PersonY for feedback,PersonX produces PersonY impression intend to ask PersonY for feedback,intend_atomic_0_0,cnc,"[""<ARG0>PersonX produces PersonY impression</ARG0> intend <ARG1>to ask PersonY for feedback</ARG1>""]",0,id,0,PersonX produces PersonY impression intend to ask PersonY for feedback,0
PersonX happens every ___,intend,minute,PersonX happens every ___ intend minute,intend_atomic_0_0,cnc,"[""<ARG0>PersonX happens every ___</ARG0> intend <ARG1>minute</ARG1>""]",0,id,0,PersonX happens every  intend minute,0
PersonX opens one eye,intend,to wake up,PersonX opens one eye intend to wake up,intend_atomic_0_0,cnc,"[""<ARG0>PersonX opens one eye</ARG0> intend <ARG1>to wake up</ARG1>""]",0,id,0,PersonX opens one eye intend to wake up,0
PersonX uses the internet,intend,to play games,PersonX uses the internet intend to play games,intend_atomic_0_0,cnc,"[""<ARG0>PersonX uses the internet</ARG0> intend <ARG1>to play games</ARG1>""]",0,id,0,PersonX uses the internet intend to play games,0
PersonX reaches across the table,intend,to grab some salt.,PersonX reaches across the table intend to grab some salt.,intend_atomic_0_0,cnc,"[""<ARG0>PersonX reaches across the table</ARG0> intend <ARG1>to grab some salt.</ARG1>""]",0,id,0,PersonX reaches across the table intend to grab some salt.,0
PersonX hires PersonY attorney,intend,talks to the attorney about how to get organized,PersonX hires PersonY attorney intend talks to the attorney about how to get organized,intend_atomic_0_0,cnc,"[""<ARG0>PersonX hires PersonY attorney</ARG0> intend <ARG1>talks to the attorney about how to get organized</ARG1>""]",0,id,0,PersonX hires PersonY attorney intend talks to the attorney about how to get organized,0
PersonX takes ___ to disneyland,intend,to post photos,PersonX takes ___ to disneyland intend to post photos,intend_atomic_0_0,cnc,"[""<ARG0>PersonX takes ___ to disneyland</ARG0> intend <ARG1>to post photos</ARG1>""]",0,id,0,PersonX takes  to disneyland intend to post photos,0
PersonX feels healthier,intend,to go out and have some fun,PersonX feels healthier intend to go out and have some fun,intend_atomic_0_0,cnc,"[""<ARG0>PersonX feels healthier</ARG0> intend <ARG1>to go out and have some fun</ARG1>""]",0,id,0,PersonX feels healthier intend to go out and have some fun,0
PersonX is the new kid in school,intend,to ask PersonX questions,PersonX is the new kid in school intend to ask PersonX questions,intend_atomic_0_0,cnc,"[""<ARG0>PersonX is the new kid in school</ARG0> intend <ARG1>to ask PersonX questions</ARG1>""]",0,id,0,PersonX is the new kid in school intend to ask PersonX questions,0
PersonX sleeps like a baby,intend,to recharge,PersonX sleeps like a baby intend to recharge,intend_atomic_0_0,cnc,"[""<ARG0>PersonX sleeps like a baby</ARG0> intend <ARG1>to recharge</ARG1>""]",0,id,0,PersonX sleeps like a baby intend to recharge,0
PersonX publishes PersonX's work,intend,to achieve a goal,PersonX publishes PersonX's work intend to achieve a goal,intend_atomic_0_0,cnc,"[""PersonX publishes PersonX s work intend <ARG1>to achieve a goal</ARG1>""]",0,id,0,PersonX publishes PersonX's work intend to achieve a goal,0
PersonX starts saving money,intend,to open a savings account,PersonX starts saving money intend to open a savings account,intend_atomic_0_0,cnc,"[""<ARG0>PersonX starts saving money</ARG0> intend <ARG1>to open a savings account</ARG1>""]",0,id,0,PersonX starts saving money intend to open a savings account,0
PersonX never liked ___,intend,choose alternatives,PersonX never liked ___ intend choose alternatives,intend_atomic_0_0,cnc,"[""<ARG0>PersonX never liked ___</ARG0> intend <ARG1>choose alternatives</ARG1>""]",0,id,0,PersonX never liked  intend choose alternatives,0
buy beer,intend,beer thirty,buy beer intend beer thirty,intend_atomic_0_0,cnc,"[""<ARG0>buy beer</ARG0> intend <ARG1>beer thirty</ARG1>""]",0,id,0,buy beer intend beer thirty,0
PersonX restores the ___ to PersonY's state,intend,to see if it helps,PersonX restores the ___ to PersonY's state intend to see if it helps,intend_atomic_0_0,cnc,"[""PersonX restores the ___ to PersonY s state intend <ARG1>to see if it helps</ARG1>""]",0,id,0,PersonX restores the  to PersonY's state intend to see if it helps,0
PersonX waits in line,intend,to get coffee,PersonX waits in line intend to get coffee,intend_atomic_0_0,cnc,"[""<ARG0>PersonX waits in line</ARG0> intend <ARG1>to get coffee</ARG1>""]",0,id,0,PersonX waits in line intend to get coffee,0
PersonX assumes PersonY position,intend,to protest PersonX,PersonX assumes PersonY position intend to protest PersonX,intend_atomic_0_0,cnc,"[""<ARG0>PersonX assumes PersonY position</ARG0> intend <ARG1>to protest PersonX</ARG1>""]",0,id,0,PersonX assumes PersonY position intend to protest PersonX,0
PersonX gets ready in the morning,intend,to kiss their spouse and kids before heading out.,PersonX gets ready in the morning intend to kiss their spouse and kids before heading out.,intend_atomic_0_0,cnc,"[""<ARG0>PersonX gets ready in the morning</ARG0> intend <ARG1>to kiss their spouse and kids before heading out.</ARG1>""]",0,id,0,PersonX gets ready in the morning intend to kiss their spouse and kids before heading out.,0
PersonX always beats ___,intend,to win over PersonX for once,PersonX always beats ___ intend to win over PersonX for once,intend_atomic_0_0,cnc,"[""<ARG0>PersonX always beats ___</ARG0> intend <ARG1>to win over PersonX for once</ARG1>""]",0,id,0,PersonX always beats  intend to win over PersonX for once,0
PersonX has PersonX's ears pierced,intend,to sell earrings,PersonX has PersonX's ears pierced intend to sell earrings,intend_atomic_0_0,cnc,"[""PersonX has PersonX s ears pierced intend <ARG1>to sell earrings</ARG1>""]",0,id,0,PersonX has PersonX's ears pierced intend to sell earrings,0
PersonX carries every ___,intend,to be known as being responsible,PersonX carries every ___ intend to be known as being responsible,intend_atomic_0_0,cnc,"[""<ARG0>PersonX carries every ___</ARG0> intend <ARG1>to be known as being responsible</ARG1>""]",0,id,0,PersonX carries every  intend to be known as being responsible,0
PersonX takes shelter,intend,to stay safe,PersonX takes shelter intend to stay safe,intend_atomic_0_0,cnc,"[""<ARG0>PersonX takes shelter</ARG0> intend <ARG1>to stay safe</ARG1>""]",0,id,0,PersonX takes shelter intend to stay safe,0
PersonX works for months,intend,to earn money,PersonX works for months intend to earn money,intend_atomic_0_0,cnc,"[""<ARG0>PersonX works for months</ARG0> intend <ARG1>to earn money</ARG1>""]",0,id,0,PersonX works for months intend to earn money,0
play violin,intend,in orchestra,play violin intend in orchestra,intend_atomic_0_0,cnc,"[""<ARG0>play violin</ARG0> intend <ARG1>in orchestra</ARG1>""]",0,id,0,play violin intend in orchestra,0
PersonX buys a set,intend,call his gf and tell her he bought something.,PersonX buys a set intend call his gf and tell her he bought something.,intend_atomic_0_0,cnc,"[""<ARG0>PersonX buys a set</ARG0> intend <ARG1>call his gf and tell her he bought something.</ARG1>""]",0,id,0,PersonX buys a set intend call his gf and tell her he bought something.,0
PersonX bears every ___,intend,to be invincible,PersonX bears every ___ intend to be invincible,intend_atomic_0_0,cnc,"[""<ARG0>PersonX bears every ___</ARG0> intend <ARG1>to be invincible</ARG1>""]",0,id,0,PersonX bears every  intend to be invincible,0
PersonX baths PersonY,intend,To dry off Y,PersonX baths PersonY intend To dry off Y,intend_atomic_0_0,cnc,"[""<ARG0>PersonX baths PersonY</ARG0> intend <ARG1>To dry off Y</ARG1>""]",0,id,0,PersonX baths PersonY intend To dry off Y,0
PersonX experiences every ___,intend,to write it all down in their journal,PersonX experiences every ___ intend to write it all down in their journal,intend_atomic_0_0,cnc,"[""<ARG0>PersonX experiences every ___</ARG0> intend <ARG1>to write it all down in their journal</ARG1>""]",0,id,0,PersonX experiences every  intend to write it all down in their journal,0
PersonX makes PersonX's flight,intend,to order an in flight drink,PersonX makes PersonX's flight intend to order an in flight drink,intend_atomic_0_0,cnc,"[""PersonX makes PersonX s flight intend <ARG1>to order an in flight drink</ARG1>""]",0,id,0,PersonX makes PersonX's flight intend to order an in flight drink,0
PersonX kisses PersonY on the forehead,intend,blush,PersonX kisses PersonY on the forehead intend blush,intend_atomic_0_0,cnc,"[""<ARG0>PersonX kisses PersonY on the forehead</ARG0> intend <ARG1>blush</ARG1>""]",0,id,0,PersonX kisses PersonY on the forehead intend blush,0
PersonX answers PersonY questions,intend,listen to the answer,PersonX answers PersonY questions intend listen to the answer,intend_atomic_0_0,cnc,"[""<ARG0>PersonX answers PersonY questions</ARG0> intend <ARG1>listen to the answer</ARG1>""]",0,id,0,PersonX answers PersonY questions intend listen to the answer,0
PersonX gets ___ the next day,intend,to use an item,PersonX gets ___ the next day intend to use an item,intend_atomic_0_0,cnc,"[""<ARG0>PersonX gets ___ the next day</ARG0> intend <ARG1>to use an item</ARG1>""]",0,id,0,PersonX gets  the next day intend to use an item,0
PersonX hits the buffers,intend,to get something to drink,PersonX hits the buffers intend to get something to drink,intend_atomic_0_0,cnc,"[""<ARG0>PersonX hits the buffers</ARG0> intend <ARG1>to get something to drink</ARG1>""]",0,id,0,PersonX hits the buffers intend to get something to drink,0
PersonX thinks of a way,intend,to take a chance,PersonX thinks of a way intend to take a chance,intend_atomic_0_0,cnc,"[""<ARG0>PersonX thinks of a way</ARG0> intend <ARG1>to take a chance</ARG1>""]",0,id,0,PersonX thinks of a way intend to take a chance,0
PersonX runs PersonX's business,intend,to gain popularity,PersonX runs PersonX's business intend to gain popularity,intend_atomic_0_0,cnc,"[""PersonX runs PersonX s business intend <ARG1>to gain popularity</ARG1>""]",0,id,0,PersonX runs PersonX's business intend to gain popularity,0
PersonX makes PersonY answer,intend,to listen to the answer.,PersonX makes PersonY answer intend to listen to the answer.,intend_atomic_0_0,cnc,"[""<ARG0>PersonX makes PersonY answer</ARG0> intend <ARG1>to listen to the answer.</ARG1>""]",0,id,0,PersonX makes PersonY answer intend to listen to the answer.,0
PersonX holds PersonX's horses,intend,to be with his horses,PersonX holds PersonX's horses intend to be with his horses,intend_atomic_0_0,cnc,"[""PersonX holds PersonX s horses intend <ARG1>to be with his horses</ARG1>""]",0,id,0,PersonX holds PersonX's horses intend to be with his horses,0
PersonX tells the waiter,intend,to speak to the manager,PersonX tells the waiter intend to speak to the manager,intend_atomic_0_0,cnc,"[""<ARG0>PersonX tells the waiter</ARG0> intend <ARG1>to speak to the manager</ARG1>""]",0,id,0,PersonX tells the waiter intend to speak to the manager,0
PersonX ties ___ around PersonX's neck,intend,to leave PersonX alone,PersonX ties ___ around PersonX's neck intend to leave PersonX alone,intend_atomic_0_0,cnc,"[""PersonX ties ___ around PersonX s neck intend <ARG1>to leave PersonX alone</ARG1>""]",0,id,0,PersonX ties  around PersonX's neck intend to leave PersonX alone,0
PersonX produces PersonX's effects,intend,TALK,PersonX produces PersonX's effects intend TALK,intend_atomic_0_0,cnc,"[""PersonX produces PersonX s effects intend <ARG1>TALK</ARG1>""]",0,id,0,PersonX produces PersonX's effects intend TALK,0
PersonX goes home that ___,intend,to rest,PersonX goes home that ___ intend to rest,intend_atomic_0_0,cnc,"[""<ARG0>PersonX goes home that ___</ARG0> intend <ARG1>to rest</ARG1>""]",0,id,0,PersonX goes home that  intend to rest,0
PersonX speeds away,intend,to hide from the law,PersonX speeds away intend to hide from the law,intend_atomic_0_0,cnc,"[""<ARG0>PersonX speeds away</ARG0> intend <ARG1>to hide from the law</ARG1>""]",0,id,0,PersonX speeds away intend to hide from the law,0
PersonX decides PersonX's fate,intend,to make another decision,PersonX decides PersonX's fate intend to make another decision,intend_atomic_0_0,cnc,"[""PersonX decides PersonX s fate intend <ARG1>to make another decision</ARG1>""]",0,id,0,PersonX decides PersonX's fate intend to make another decision,0
PersonX is expecting PersonY's first child,intend,To have a safe pregnancy,PersonX is expecting PersonY's first child intend To have a safe pregnancy,intend_atomic_0_0,cnc,"[""PersonX is expecting PersonY s first child intend <ARG1>To have a safe pregnancy</ARG1>""]",0,id,0,PersonX is expecting PersonY's first child intend To have a safe pregnancy,0
PersonX stills loved PersonY,intend,to kiss them,PersonX stills loved PersonY intend to kiss them,intend_atomic_0_0,cnc,"[""<ARG0>PersonX stills loved PersonY</ARG0> intend <ARG1>to kiss them</ARG1>""]",0,id,0,PersonX stills loved PersonY intend to kiss them,0
PersonX makes ___ by hand,intend,to give a handmade gift,PersonX makes ___ by hand intend to give a handmade gift,intend_atomic_0_0,cnc,"[""<ARG0>PersonX makes ___ by hand</ARG0> intend <ARG1>to give a handmade gift</ARG1>""]",0,id,0,PersonX makes  by hand intend to give a handmade gift,0
PersonX washes up,intend,to go to bed,PersonX washes up intend to go to bed,intend_atomic_0_0,cnc,"[""<ARG0>PersonX washes up</ARG0> intend <ARG1>to go to bed</ARG1>""]",0,id,0,PersonX washes up intend to go to bed,0
PersonX is an astronaut when PersonY grew up,intend,to teach others to enjoy science,PersonX is an astronaut when PersonY grew up intend to teach others to enjoy science,intend_atomic_0_0,cnc,"[""<ARG0>PersonX is an astronaut when PersonY grew up</ARG0> intend <ARG1>to teach others to enjoy science</ARG1>""]",0,id,0,PersonX is an astronaut when PersonY grew up intend to teach others to enjoy science,0
PersonX remodels PersonY's bathroom,intend,check it out,PersonX remodels PersonY's bathroom intend check it out,intend_atomic_0_0,cnc,"[""PersonX remodels PersonY s bathroom intend <ARG1>check it out</ARG1>""]",0,id,0,PersonX remodels PersonY's bathroom intend check it out,0
PersonX thinks of a way,intend,to succeed,PersonX thinks of a way intend to succeed,intend_atomic_0_0,cnc,"[""<ARG0>PersonX thinks of a way</ARG0> intend <ARG1>to succeed</ARG1>""]",0,id,0,PersonX thinks of a way intend to succeed,0
PersonX loves ___ much,intend,to grow the relationship,PersonX loves ___ much intend to grow the relationship,intend_atomic_0_0,cnc,"[""<ARG0>PersonX loves ___ much</ARG0> intend <ARG1>to grow the relationship</ARG1>""]",0,id,0,PersonX loves  much intend to grow the relationship,0
PersonX serves PersonY faithfully,intend,to know how to help next,PersonX serves PersonY faithfully intend to know how to help next,intend_atomic_0_0,cnc,"[""<ARG0>PersonX serves PersonY faithfully</ARG0> intend <ARG1>to know how to help next</ARG1>""]",0,id,0,PersonX serves PersonY faithfully intend to know how to help next,0
PersonX takes PersonY's degree,intend,to get revenge.,PersonX takes PersonY's degree intend to get revenge.,intend_atomic_0_0,cnc,"[""PersonX takes PersonY s degree intend <ARG1>to get revenge.</ARG1>""]",0,id,0,PersonX takes PersonY's degree intend to get revenge.,0
PersonX takes PersonX's lunch break,intend,to drive back to work,PersonX takes PersonX's lunch break intend to drive back to work,intend_atomic_0_0,cnc,"[""PersonX takes PersonX s lunch break intend <ARG1>to drive back to work</ARG1>""]",0,id,0,PersonX takes PersonX's lunch break intend to drive back to work,0
PersonX tells ben,intend,to move on,PersonX tells ben intend to move on,intend_atomic_0_0,cnc,"[""<ARG0>PersonX tells ben</ARG0> intend <ARG1>to move on</ARG1>""]",0,id,0,PersonX tells ben intend to move on,0
PersonX buys the part,intend,to test it out,PersonX buys the part intend to test it out,intend_atomic_0_0,cnc,"[""<ARG0>PersonX buys the part</ARG0> intend <ARG1>to test it out</ARG1>""]",0,id,0,PersonX buys the part intend to test it out,0
PersonX enters a marathon,intend,wants to participate,PersonX enters a marathon intend wants to participate,intend_atomic_0_0,cnc,"[""<ARG0>PersonX enters a marathon</ARG0> intend <ARG1>wants to participate</ARG1>""]",0,id,0,PersonX enters a marathon intend wants to participate,0
PersonX ends PersonX's career,intend,to start a new career,PersonX ends PersonX's career intend to start a new career,intend_atomic_0_0,cnc,"[""PersonX ends PersonX s career intend <ARG1>to start a new career</ARG1>""]",0,id,0,PersonX ends PersonX's career intend to start a new career,0
PersonX explains everything,intend,her friend to understand.,PersonX explains everything intend her friend to understand.,intend_atomic_0_0,cnc,"[""<ARG0>PersonX explains everything</ARG0> intend <ARG1>her friend to understand.</ARG1>""]",0,id,0,PersonX explains everything intend her friend to understand.,0
PersonX parks the bus,intend,to get out of the bus,PersonX parks the bus intend to get out of the bus,intend_atomic_0_0,cnc,"[""<ARG0>PersonX parks the bus</ARG0> intend <ARG1>to get out of the bus</ARG1>""]",0,id,0,PersonX parks the bus intend to get out of the bus,0
PersonX finishes PersonX's hike,intend,to get somewhere,PersonX finishes PersonX's hike intend to get somewhere,intend_atomic_0_0,cnc,"[""PersonX finishes PersonX s hike intend <ARG1>to get somewhere</ARG1>""]",0,id,0,PersonX finishes PersonX's hike intend to get somewhere,0
PersonX is PersonY's boss,intend,to call on PersonY to do a task,PersonX is PersonY's boss intend to call on PersonY to do a task,intend_atomic_0_0,cnc,"[""PersonX is PersonY s boss intend <ARG1>to call on PersonY to do a task</ARG1>""]",0,id,0,PersonX is PersonY's boss intend to call on PersonY to do a task,0
PersonX takes PersonY's girlfriend out to dinner,intend,to propose,PersonX takes PersonY's girlfriend out to dinner intend to propose,intend_atomic_0_0,cnc,"[""PersonX takes PersonY s girlfriend out to dinner intend <ARG1>to propose</ARG1>""]",0,id,0,PersonX takes PersonY's girlfriend out to dinner intend to propose,0
PersonX wins ___ to a concert,intend,to tell others that they won the tickets,PersonX wins ___ to a concert intend to tell others that they won the tickets,intend_atomic_0_0,cnc,"[""<ARG0>PersonX wins ___ to a concert</ARG0> intend <ARG1>to tell others that they won the tickets</ARG1>""]",0,id,0,PersonX wins  to a concert intend to tell others that they won the tickets,0
PersonX immediately took PersonY,intend,to see what they can do in a short time,PersonX immediately took PersonY intend to see what they can do in a short time,intend_atomic_0_0,cnc,"[""<ARG0>PersonX immediately took PersonY</ARG0> intend <ARG1>to see what they can do in a short time</ARG1>""]",0,id,0,PersonX immediately took PersonY intend to see what they can do in a short time,0
PersonX tries to get in,intend,Gets stuck in doggy door.,PersonX tries to get in intend Gets stuck in doggy door.,intend_atomic_0_0,cnc,"[""<ARG0>PersonX tries to get in</ARG0> intend <ARG1>Gets stuck in doggy door.</ARG1>""]",0,id,0,PersonX tries to get in intend Gets stuck in doggy door.,0
PersonX studies for weeks,intend,to rest her eyes from the eye strain of her studies.,PersonX studies for weeks intend to rest her eyes from the eye strain of her studies.,intend_atomic_0_0,cnc,"[""<ARG0>PersonX studies for weeks</ARG0> intend <ARG1>to rest her eyes from the eye strain of her studies.</ARG1>""]",0,id,0,PersonX studies for weeks intend to rest her eyes from the eye strain of her studies.,0
