,corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs,Event1_Type,Event2_Type,relation,stripped_index,type_relation,Average_Similarity
466,cnc,1.0,1.0,0.0,enable_1_1_0,"The Prime Minister has defended his government's record, arguing that the deficit has been reduced significantly since he took office.","[""The Prime Minister has defended his government s record, arguing that the deficit has been <ARG1>reduced</ARG1> significantly since he <ARG0>took office</ARG0>.""]",0.0,Natural Disaster,Political Statement,enable,enable,Natural Disaster enable Political Statement,
467,cnc,1.0,1.0,0.0,intend_1_1_0,"The company said it expects to use the proceeds to repay certain bank debt and for general corporate purposes, including establishing new operating centers and possible acquisitions. ","[""The company said it expects to <ARG0>use</ARG0> the proceeds to repay certain bank debt and for general corporate purposes, including <ARG1>establishing</ARG1> new operating centers and possible acquisitions.""]",0.0,Natural Disaster,Debt Repayment,intend,intend,Natural Disaster intend Debt Repayment,0.78350675
468,cnc,1.0,1.0,0.0,enable_1_1_0,The World Health Organization has launched a new campaign to combat the spread of infectious diseases.,"[""The World Health Organization has launched a new <ARG0>campaign</ARG0> to <ARG1>combat</ARG1> the spread of infectious diseases.""]",0.0,Natural Disaster,Public Health Initiative,enable,enable,Natural Disaster enable Public Health Initiative,
469,cnc,1.0,1.0,0.0,intend_1_1_0,"The government passed a law to increase access to renewable energy, in an effort to reduce carbon emissions.","[""The government <ARG0>passed</ARG0> a law to increase access to renewable energy, in an effort to <ARG1>reduce</ARG1> carbon emissions.""]",0.0,Government Passes Law,Environmental Policy Change,intend,intend,Government Passes Law intend Environmental Policy Change,0.78350675
470,cnc,1.0,1.0,0.0,prevent_1_1_0,"The government has implemented a series of measures to prevent the spread of misinformation, including increased fact-checking and increased regulation of online content.","[""The government has implemented a series of measures to prevent the spread of <ARG1>Misinformation</ARG1>, including increased <ARG0>Fact-checking</ARG0> and increased regulation of online content.""]",0.0,Regulatory Change,Combating Misinformation,prevent,prevent,Regulatory Change prevent Combating Misinformation,
471,cnc,1.0,1.0,0.0,cause_1_1_0,"Nonetheless, concern about the chip may have been responsible for a decline of 87.5 cents in Intel's stock to $32 a share yesterday in over-the-counter trading, on volume of 3,609,800 shares, and partly responsible for a drop in Compaq's stock in New York Stock Exchange composite trading on Wednesday. ","[""Nonetheless, <ARG0>concern</ARG0> about the chip may have been responsible for a <ARG1>decline</ARG1> of 87.5 cents in Intel s stock to $32 a share yesterday in over-the-counter trading, on volume of 3,609,800 shares, and partly responsible for a drop in Compaq s stock in New York Stock Exchange composite trading on Wednesday.""]",0.0,Stock Price Decline,Concern about a Chip,cause,cause,Stock Price Decline cause Concern about a Chip,0.7043338
472,cnc,1.0,1.0,0.0,prevent_1_1_0,"They exclude revisions made by other statistical organisations, which show that the number of deaths is much higher.","[""<ARG0>They</ARG0> exclude revisions made by other statistical organisations, which show that the number of <ARG1>deaths</ARG1> is much higher.""]",0.0,Natural Disaster,Data Manipulation,prevent,prevent,Natural Disaster prevent Data Manipulation,
473,cnc,1.0,1.0,0.0,intend_1_1_0,The government passed a law to provide incentives for businesses to invest in renewable energy sources.,"[""The government <ARG0>passed</ARG0> a law to provide incentives for businesses to <ARG1>invest</ARG1> in renewable energy sources.""]",0.0,Government Policy Change,Incentivization for Business Investment,intend,intend,Government Policy Change intend Incentivization for Business Investment,0.78350675
474,cnc,1.0,1.0,0.0,cause_1_1_0,"Although the government said the economy grew an estimated 2.5% in the third quarter, in line with expectations, analysts are increasingly predicting much more sluggish growth -- and therefore more corporate earnings disappointments -- for the fourth quarter.    ","[""Although the government said the economy <ARG0>grew</ARG0> an estimated 2.5% in the third quarter, in line with expectations, analysts are increasingly predicting much more sluggish growth -- and therefore more corporate earnings <ARG1>disappointments</ARG1> -- for the fourth quarter.""]",0.0,Economic Indicator,Corporate Earnings Disappointment,cause,cause,Economic Indicator cause Corporate Earnings Disappointment,0.7043338
475,cnc,1.0,1.0,0.0,prevent_1_1_0,"The government has taken steps to prevent the spread of terrorism, including introducing new laws to combat terrorism.","[""The government has taken <ARG0>steps</ARG0> to prevent the spread of <ARG1>terrorism</ARG1>, including introducing new laws to combat <ARG1>terrorism</ARG1>.""]",0.0,Natural Disaster,Government Action,prevent,prevent,Natural Disaster prevent Government Action,
476,cnc,1.0,1.0,0.0,cause_1_1_0,"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ","[""Ocean Drilling amp Exploration Co. will <ARG1>sell</ARG1> its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned <ARG0>sale</ARG0>.""]",0.0,Divestment,Loss from Discontinued Operations,cause,cause,Divestment cause Loss from Discontinued Operations,0.7043338
477,cnc,1.0,1.0,0.0,cause_1_1_0,"Earnings  were hurt by disposal of operations in its restructuring, Reed said. ","[""Earnings  were <ARG1>hurt</ARG1> by <ARG0>disposal</ARG0> of operations in its restructuring, Reed said.""]",0.0,Disposal of Operations,Earnings Decline,cause,cause,Disposal of Operations cause Earnings Decline,0.7043338
478,cnc,1.0,1.0,0.0,enable_1_1_0,"After meeting with Prime Minister Benjamin Netanyahu, Blinken reiterated support for Israel's right to defend itself against rocket attacks by Gaza's Hamas rulers, adding that they must benefit from reconstruction aid.","[""After meeting with Prime Minister Benjamin Netanyahu, Blinken reiterated <ARG0>support</ARG0> for Israel s right to defend itself against rocket attacks by Gaza s Hamas rulers, adding that they must benefit from reconstruction <ARG1>aid</ARG1>.""]",0.0,Political Statement,Humanitarian Aid,enable,enable,Political Statement enable Humanitarian Aid,
479,cnc,1.0,1.0,0.0,cause_1_1_0,"The debt, estimated at $4.7 billion, could mortgage the cellular company's future earning power in order to placate some LIN holders in the short term.    ","[""The debt, estimated at $4.7 billion, could <ARG0>mortgage</ARG0> the cellular company s future earning power in order to <ARG1>placate</ARG1> some LIN holders in the short term.""]",0.0,Financial Decision,Shareholder Negotiation,cause,cause,Financial Decision cause Shareholder Negotiation,0.7043338
480,cnc,1.0,1.0,0.0,prevent_1_1_0,The United Nations has imposed an arms embargo on certain countries in an effort to prevent the proliferation of weapons of mass destruction.,"[""The United Nations has imposed an <ARG0>Arms embargo</ARG0> on certain countries in an effort to prevent the <ARG1>Proliferation</ARG1> of weapons of mass destruction.""]",0.0,Economic Sanction,Weapons Proliferation,prevent,prevent,Economic Sanction prevent Weapons Proliferation,
481,cnc,1.0,1.0,0.0,enable_1_1_0,"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.   ","[""The White House yesterday disclosed that Kuwait s ousted government has formally asked the U.S. to <ARG0>enforce</ARG0> the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately <ARG1>begin</ARG1> stopping ships carrying Iraqi goods.""]",0.0,Natural Disaster,Diplomatic Request,enable,enable,Natural Disaster enable Diplomatic Request,
482,cnc,1.0,1.0,0.0,cause_1_1_0,"But that option is growing less and less likely as thousands of American, British, Egyptian, Syrian and Moroccan forces assemble in and around Saudi Arabia to protect the kingdom. ","[""But that option is <ARG1>growing</ARG1> less and less likely as thousands of American, British, Egyptian, Syrian and Moroccan forces <ARG0>assemble</ARG0> in and around Saudi Arabia to protect the kingdom.""]",0.0,Military Buildup,Growing Less Likely,cause,cause,Military Buildup cause Growing Less Likely,0.7043338
483,cnc,1.0,1.0,0.0,cause_1_1_0,"The sale, at a higher price than some analysts had expected, helps the food and tobacco giant raise funds to pay debt and boosts Nestle's 7% share of the U.S. candy market to about 12%.    ","[""The sale, at a higher <ARG0>price</ARG0> than some analysts had expected, helps the food and tobacco giant raise funds to pay debt and <ARG1>boosts</ARG1> Nestle s 7% share of the U.S. candy market to about 12%.""]",0.0,Corporate Finance Event,Market Share Change,cause,cause,Corporate Finance Event cause Market Share Change,0.7043338
484,cnc,1.0,1.0,0.0,intend_1_1_0,The government passed a law to increase access to clean energy sources and reduce air pollution.,"[""The government <ARG0>passed</ARG0> a law to increase access to clean energy sources and <ARG1>reduce</ARG1> air pollution.""]",0.0,Natural Disaster,Regulatory Change,intend,intend,Natural Disaster intend Regulatory Change,0.78350675
485,cnc,1.0,1.0,0.0,intend_1_1_0,"The government is introducing a new law to protect the rights of people with disabilities, in an effort to ensure equal access to services and opportunities.","[""The government is <ARG0>introducing</ARG0> a new law to protect the rights of people with disabilities, in an effort to <ARG1>ensure</ARG1> equal access to services and opportunities.""]",0.0,Legal/Regulatory Change,Social Justice/Equality,intend,intend,Legal/Regulatory Change intend Social Justice/Equality,0.78350675
486,cnc,1.0,1.0,0.0,intend_1_1_0,The government passed a law to protect the rights of victims of discrimination in employment and ensure their access to services.,"[""The government <ARG0>passed</ARG0> a law to protect the rights of victims of discrimination in employment and <ARG1>ensure</ARG1> their access to services.""]",0.0,Legal/Regulatory Change,Social Justice/Human Rights,intend,intend,Legal/Regulatory Change intend Social Justice/Human Rights,0.78350675
487,cnc,1.0,1.0,0.0,prevent_1_1_0,The United Nations has imposed an arms embargo on Somalia in an effort to prevent further violence in the region.,"[""The United Nations has imposed an <ARG0>Arms embargo</ARG0> on Somalia in an effort to prevent further <ARG1>Violence</ARG1> in the region.""]",0.0,Arms Embargo,Violence in Somalia,prevent,prevent,Arms Embargo prevent Violence in Somalia,
488,cnc,1.0,1.0,0.0,prevent_1_1_0,The government has implemented a series of measures to prevent the proliferation of weapons of mass destruction.,"[""The government has implemented a series of <ARG0>measures</ARG0> to prevent the <ARG1>proliferation</ARG1> of weapons of mass destruction.""]",0.0,Natural Disaster,Security Measure,prevent,prevent,Natural Disaster prevent Security Measure,
489,cnc,1.0,1.0,0.0,enable_1_1_0,The government has announced a new policy that will provide free healthcare to all citizens.,"[""The government has announced a new <ARG0>policy</ARG0> that will <ARG1>provide</ARG1> free healthcare to all citizens.""]",0.0,Natural Disaster,Social Policy Change,enable,enable,Natural Disaster enable Social Policy Change,
490,cnc,1.0,1.0,0.0,enable_1_1_0,The House of Representatives has passed a resolution that would increase the minimum wage to $15 an hour.,"[""The House of Representatives has passed a <ARG0>resolution</ARG0> that would <ARG1>increase</ARG1> the minimum wage to $15 an hour.""]",0.0,Legislative Change,Economic Policy Change,enable,enable,Legislative Change enable Economic Policy Change,
491,cnc,1.0,1.0,0.0,intend_1_1_0,The government passed a law to increase access to clean water in an effort to improve public health.,"[""The government <ARG0>passed</ARG0> a law to increase access to clean water in an effort to <ARG1>improve</ARG1> public health.""]",0.0,Government Policy Change,Public Health Improvement,intend,intend,Government Policy Change intend Public Health Improvement,0.78350675
492,cnc,1.0,1.0,0.0,prevent_1_1_0,"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ","[""Subcontractors  will  be offered a settlement and a swift <ARG0>transition</ARG0> to new management  is expected  to avert an <ARG1>exodus</ARG1> of skilled workers from Waertsilae Marine s two big shipyards, government officials said.""]",0.0,Natural Disaster,Management Change,prevent,prevent,Natural Disaster prevent Management Change,
493,cnc,1.0,1.0,0.0,prevent_1_1_0,The government has implemented a series of measures to prevent the spread of counterfeit goods.,"[""The government has implemented a series of <ARG0>measures</ARG0> to prevent the spread of <ARG1>counterfeit</ARG1> goods.""]",0.0,Natural Disaster,Regulatory Change,prevent,prevent,Natural Disaster prevent Regulatory Change,
494,cnc,1.0,1.0,0.0,prevent_1_1_0,-- Stannous Fluoride Toothpaste Stannous Fluoride (SnF2) helps to protect your gums against bacterial plaque.,"[""-- Stannous Fluoride Toothpaste Stannous Fluoride (<ARG0>SnF2</ARG0>) helps to protect your gums against bacterial <ARG1>plaque</ARG1>.""]",0.0,Medical Breakthrough,Oral Health Management,prevent,prevent,Medical Breakthrough prevent Oral Health Management,
495,cnc,1.0,1.0,0.0,prevent_1_1_0,"The government has taken steps to prevent the spread of terrorism, including introducing new laws to combat terrorism.","[""The government has <ARG0>taken</ARG0> steps to prevent the spread of <ARG1>Terrorism</ARG1>, including introducing new laws to combat <ARG1>Terrorism</ARG1>.""]",0.0,Government Policy Change,Counter-Terrorism Measure,prevent,prevent,Government Policy Change prevent Counter-Terrorism Measure,
496,cnc,1.0,1.0,0.0,intend_1_1_0,"The government passed a law to increase funding for research and development, in an effort to promote innovation.","[""The government <ARG0>passed</ARG0> a law to increase funding for research and development, in an effort to <ARG1>promote</ARG1> innovation.""]",0.0,Government Funding Increase,Innovation Promotion,intend,intend,Government Funding Increase intend Innovation Promotion,0.78350675
497,cnc,1.0,1.0,0.0,enable_1_1_0,The United Nations has passed a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine.,"[""The United Nations has passed a <ARG0>resolution</ARG0> calling for an immediate <ARG1>ceasefire</ARG1> in the conflict between Israel and Palestine.""]",0.0,International Diplomacy,Ceasefire Agreement,enable,enable,International Diplomacy enable Ceasefire Agreement,
498,cnc,1.0,1.0,0.0,prevent_1_1_0,The United States has imposed sanctions on Venezuela in an effort to prevent the country from destabilizing the region.,"[""The United States has imposed <ARG0>Sanctions</ARG0> on Venezuela in an effort to prevent the country from <ARG1>Destabilizing</ARG1> the region.""]",0.0,Economic Sanctions,Geopolitical Instability,prevent,prevent,Economic Sanctions prevent Geopolitical Instability,
499,cnc,1.0,1.0,0.0,prevent_1_1_0,The United States and its allies have imposed a naval blockade on Iraq to prevent Saddam Hussein from importing weapons and military supplies.,"[""The United States and its allies have imposed a <ARG0>naval</ARG0> blockade on Iraq to prevent Saddam Hussein from <ARG1>importing</ARG1> weapons and military supplies.""]",0.0,Military Action,Economic Sanctions,prevent,prevent,Military Action prevent Economic Sanctions,
500,cnc,1.0,1.0,0.0,intend_1_1_0,"The government passed a law to increase access to healthcare, in an effort to reduce health disparities and improve public health.","[""The government passed a law to <ARG0>increase</ARG0> access to healthcare, in an effort to <ARG1>reduce</ARG1> health disparities and improve public health.""]",0.0,Natural Disaster,Legislative Change,intend,intend,Natural Disaster intend Legislative Change,0.78350675
501,cnc,1.0,1.0,0.0,enable_1_1_0,"The United Nations has taken a leading role in promoting international peace and security, and has sought to resolve conflicts through diplomacy and dialogue.","[""The United Nations has taken a leading <ARG0>role</ARG0> in promoting international <ARG1>peace</ARG1> and security, and has sought to resolve conflicts through diplomacy and dialogue.""]",0.0,Natural Disaster,Diplomatic Efforts,enable,enable,Natural Disaster enable Diplomatic Efforts,
502,cnc,1.0,1.0,0.0,enable_1_1_0,The International Monetary Fund has issued a warning to countries to reduce their debt levels and increase fiscal discipline.,"[""The International Monetary Fund has issued a <ARG0>warning</ARG0> to countries to <ARG1>reduce</ARG1> their debt levels and increase fiscal discipline.""]",0.0,Natural Disaster,Economic Policy Change,enable,enable,Natural Disaster enable Economic Policy Change,
503,cnc,1.0,1.0,0.0,intend_1_1_0,"The government is introducing a new law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.","[""The government is <ARG0>introducing</ARG0> a new law to protect the rights of workers, in an effort to <ARG1>ensure</ARG1> fair wages and safe working conditions.""]",0.0,Labor Law Change,Worker's Rights Protection,intend,intend,Labor Law Change intend Worker's Rights Protection,0.78350675
504,cnc,1.0,1.0,0.0,prevent_1_1_0,The government has implemented a series of measures to prevent the spread of corruption.,"[""The government has implemented a series of <ARG0>measures</ARG0> to prevent the spread of <ARG1>corruption</ARG1>.""]",0.0,Natural Disaster,Government Initiative,prevent,prevent,Natural Disaster prevent Government Initiative,
505,cnc,1.0,1.0,0.0,intend_1_1_0,The United Nations Security Council passed a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine.,"[""The United Nations Security Council <ARG0>passed</ARG0> a resolution calling for an immediate <ARG1>ceasefire</ARG1> in the conflict between Israel and Palestine.""]",0.0,International Diplomacy,Ceasefire Agreement,intend,intend,International Diplomacy intend Ceasefire Agreement,0.78350675
506,cnc,1.0,1.0,0.0,enable_1_1_0,"Italy's government said Wednesday it had passed an ""important step"" in negotiations with the European Commission to create a new, leaner airline from its beleaguered Alitalia carrier, Italian media reported.","[""Italy s government said Wednesday it had passed an  important <ARG0>step</ARG0>  in negotiations with the European Commission to create a new, leaner <ARG1>airline</ARG1> from its beleaguered Alitalia carrier, Italian media reported.""]",0.0,Government Policy Change,Business Restructuring,enable,enable,Government Policy Change enable Business Restructuring,
507,cnc,1.0,1.0,0.0,prevent_1_1_0,The government has implemented a series of measures to prevent the spread of human trafficking.,"[""The government has implemented a series of <ARG0>measures</ARG0> to prevent the spread of <ARG1>human trafficking</ARG1>.""]",0.0,Natural Disaster,Government Initiative,prevent,prevent,Natural Disaster prevent Government Initiative,
508,cnc,1.0,1.0,0.0,prevent_1_1_0,"The government has implemented a series of measures to prevent the exploitation of workers, including increased labor inspections and increased enforcement of labor laws.","[""The government has implemented a series of <ARG0>measures</ARG0> to prevent the <ARG1>exploitation</ARG1> of workers, including increased labor inspections and increased enforcement of labor laws.""]",0.0,Natural Disaster,Labor Policy Change,prevent,prevent,Natural Disaster prevent Labor Policy Change,
509,cnc,1.0,1.0,0.0,cause_1_1_0,But the new pact will force huge debt on the new firm and could still fail to thwart rival suitor McCaw Cellular.,"[""But the new <ARG0>pact</ARG0> will force huge debt on the new firm and could still <ARG1>fail</ARG1> to thwart rival suitor McCaw Cellular.""]",0.0,Business Agreement,Failure to Thwart Rival Suitor,cause,cause,Business Agreement cause Failure to Thwart Rival Suitor,0.7043338
510,cnc,1.0,1.0,0.0,prevent_1_1_0,The United Nations has imposed a trade embargo on North Korea in an effort to prevent the country from developing nuclear weapons.,"[""The United Nations has imposed a trade <ARG0>Embargo</ARG0> on North Korea in an effort to prevent the country from <ARG1>developing</ARG1> nuclear weapons.""]",0.0,Economic Sanction,Nuclear Weapons Development,prevent,prevent,Economic Sanction prevent Nuclear Weapons Development,
511,cnc,1.0,1.0,0.0,enable_1_1_0,"""We will continue to support our brothers in Palestine to reach a just and lasting solution by establishing their independent state.""","[""<ARG0>We</ARG0> will continue to support our brothers in Palestine to reach a just and lasting solution by establishing their <ARG1>independent</ARG1> state.""]",0.0,Natural Disaster,Political Statement,enable,enable,Natural Disaster enable Political Statement,
512,cnc,1.0,1.0,0.0,enable_1_1_0,The United Kingdom has implemented a new program to provide free legal aid to low-income individuals.,"[""The United Kingdom has implemented a new <ARG0>program</ARG0> to provide free legal <ARG1>aid</ARG1> to low-income individuals.""]",0.0,Natural Disaster,Social Welfare Policy Change,enable,enable,Natural Disaster enable Social Welfare Policy Change,
513,cnc,1.0,1.0,0.0,prevent_1_1_0,The United Nations has imposed an arms embargo on Yemen in an effort to prevent further violence and conflict.,"[""The United Nations has imposed an <ARG0>Arms embargo</ARG0> on Yemen in an effort to prevent further <ARG1>violence</ARG1> and conflict.""]",0.0,Arms Embargo,Conflict,prevent,prevent,Arms Embargo prevent Conflict,
514,cnc,1.0,1.0,0.0,intend_1_1_0,The government passed a law to increase the availability of affordable housing in an effort to reduce homelessness.,"[""The government <ARG0>passed</ARG0> a law to increase the availability of affordable housing in an effort to <ARG1>reduce</ARG1> homelessness.""]",0.0,Government Policy Change,Social Welfare Improvement,intend,intend,Government Policy Change intend Social Welfare Improvement,0.78350675
515,cnc,1.0,1.0,0.0,cause_1_1_0,"The company also took a write-off of $150 million to cover losses on some fixed-price defense contracts, as some new managers took a hard look at the prospects for that slow-growing business. ","[""The company also <ARG1>took</ARG1> a write-off of $150 million to cover losses on some fixed-price defense contracts, as some new managers <ARG1>took</ARG1> a hard <ARG0>look</ARG0> at the prospects for that slow-growing business.""]",0.0,Financial Loss,Business Strategy Change,cause,cause,Financial Loss cause Business Strategy Change,0.7043338
516,cnc,1.0,1.0,0.0,cause_1_1_0,"Earlier this year, DPC Acquisition made a $15-a-share offer for Dataproducts, which the Dataproducts board said it rejected because the $283.7 million offer was not fully financed. ","[""Earlier this year, DPC Acquisition made a $15-a-share offer for Dataproducts, which the Dataproducts board said it <ARG1>rejected</ARG1> because the $283.7 million offer was not fully <ARG0>financed</ARG0>.""]",0.0,Financial Offer,Merger and Acquisition Rejection,cause,cause,Financial Offer cause Merger and Acquisition Rejection,0.7043338
517,cnc,1.0,1.0,0.0,cause_1_1_0,"Aetna Life amp Casualty Co.'s third-quarter net income fell 22% to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower results for some of the company's major divisions.    ","[""Aetna Life amp Casualty Co. s third-quarter net income <ARG1>fell</ARG1> 22% to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower <ARG0>results</ARG0> for some of the company s major divisions.""]",0.0,Natural Disaster,Financial Performance,cause,cause,Natural Disaster cause Financial Performance,0.7043338
518,cnc,1.0,1.0,0.0,cause_1_1_0,"Newsprint results continued to be depressed, the company added, because of industrywide price discounting.    ","[""Newsprint results continued to be <ARG1>depressed</ARG1>, the company added, because of industrywide price <ARG0>discounting</ARG0>.""]",0.0,Price War,Industry Downturn,cause,cause,Price War cause Industry Downturn,0.7043338
519,cnc,1.0,1.0,0.0,enable_1_1_0,"The Canadian government has announced a new program to help low-income families with the cost of food, providing up to $200 per month in assistance for those who qualify.","[""The Canadian government has announced a new <ARG0>program</ARG0> to <ARG1>help</ARG1> low-income families with the cost of food, providing up to $200 per month in assistance for those who qualify.""]",0.0,Social Welfare Program Introduction,Government Assistance Program,enable,enable,Social Welfare Program Introduction enable Government Assistance Program,
520,cnc,1.0,1.0,0.0,intend_1_1_0,"The government is introducing a new law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.","[""The government is <ARG0>Introducing</ARG0> a new law to protect the rights of workers, in an effort to <ARG1>ensure</ARG1> fair wages and safe working conditions.""]",0.0,Labor Law Change,Worker's Rights Protection,intend,intend,Labor Law Change intend Worker's Rights Protection,0.78350675
521,cnc,1.0,1.0,0.0,cause_1_1_0,"The company attributed the decrease in part to the exclusion of the company's British sales from the current year's figures as a result of the subsidiary's status as a proposed discontinued operation and, in part, to lower sales in certain key foreign and domestic accounts. ","[""The company attributed the <ARG1>decrease</ARG1> in part to the exclusion of the company s British <ARG0>sales</ARG0> from the current year s figures as a result of the subsidiary s status as a proposed discontinued operation and, in part, to lower <ARG0>sales</ARG0> in certain key foreign and domestic accounts.""]",0.0,Discontinued Operations,Decreased Sales,cause,cause,Discontinued Operations cause Decreased Sales,0.7043338
522,cnc,1.0,1.0,0.0,cause_1_1_0,"In addition, operating results were hit by an increase in loan and real estate loss reserves.    ","[""In addition, operating results were <ARG1>hit</ARG1> by an <ARG0>increase</ARG0> in loan and real estate loss reserves.""]",0.0,Natural Disaster,Financial Event,cause,cause,Natural Disaster cause Financial Event,0.7043338
523,cnc,1.0,1.0,0.0,enable_1_1_0,The United Nations has adopted a resolution to end the use of child soldiers in armed conflicts around the world.,"[""The United Nations has adopted a <ARG0>resolution</ARG0> to <ARG1>end</ARG1> the use of child soldiers in armed conflicts around the world.""]",0.0,Humanitarian Intervention,End of a Practice or Policy,enable,enable,Humanitarian Intervention enable End of a Practice or Policy,
524,cnc,1.0,1.0,0.0,intend_1_1_0,"The government passed a law to increase the minimum wage, in an effort to reduce poverty and improve living standards.","[""The government <ARG0>passed</ARG0> a law to increase the minimum wage, in an effort to <ARG1>reduce</ARG1> poverty and improve living standards.""]",0.0,Government Policy Change,Economic Change,intend,intend,Government Policy Change intend Economic Change,0.78350675
525,cnc,1.0,1.0,0.0,cause_1_1_0,"Du Pont, unlike companies hurt badly by sharp price declines for basic chemicals and plastics, is benefiting from its broad range of businesses. ","[""Du Pont, unlike companies <ARG1>hurt</ARG1> badly by sharp price <ARG0>declines</ARG0> for basic chemicals and plastics, is benefiting from its broad range of businesses.""]",0.0,Natural Disaster,Diversified Business Model,cause,cause,Natural Disaster cause Diversified Business Model,0.7043338
526,cnc,1.0,1.0,0.0,prevent_1_1_0,The United States and its allies have imposed economic sanctions on Iran in an effort to prevent the country from developing nuclear weapons.,"[""The United States and its allies have imposed <ARG0>Economic sanctions</ARG0> on Iran in an effort to prevent the country from <ARG1>developing</ARG1> nuclear weapons.""]",0.0,Economic Sanctions,Nuclear Weapons Development,prevent,prevent,Economic Sanctions prevent Nuclear Weapons Development,
527,cnc,1.0,1.0,0.0,intend_1_1_0,"The government passed a law to increase access to clean energy sources, in an effort to reduce greenhouse gas emissions and combat climate change.","[""The government passed a law to <ARG0>increase</ARG0> access to clean energy sources, in an effort to <ARG1>reduce</ARG1> greenhouse gas emissions and combat climate change.""]",0.0,Natural Disaster,Environmental Policy Change,intend,intend,Natural Disaster intend Environmental Policy Change,0.78350675
528,cnc,1.0,1.0,0.0,intend_1_1_0,"The government has passed a law to increase access to mental health services, in an effort to reduce the stigma associated with mental illness and promote public health.","[""The government has <ARG0>passed</ARG0> a law to increase access to mental health services, in an effort to <ARG1>reduce</ARG1> the stigma associated with mental illness and promote public health.""]",0.0,Government Policy Change,Public Health Initiative,intend,intend,Government Policy Change intend Public Health Initiative,0.78350675
529,cnc,1.0,1.0,0.0,intend_1_1_0,"The government has passed a new law to increase the availability of affordable housing, in an effort to reduce homelessness and poverty.","[""The government has <ARG0>passed</ARG0> a new law to increase the availability of affordable housing, in an effort to <ARG1>reduce</ARG1> homelessness and poverty.""]",0.0,Government Policy Change,Social Welfare Improvement,intend,intend,Government Policy Change intend Social Welfare Improvement,0.78350675
530,cnc,1.0,1.0,0.0,prevent_1_1_0,The government has implemented a series of measures to prevent the trafficking of illegal drugs.,"[""The government has implemented a series of <ARG0>measures</ARG0> to prevent the <ARG1>trafficking</ARG1> of illegal drugs.""]",0.0,Natural Disaster,Law Enforcement Initiative,prevent,prevent,Natural Disaster prevent Law Enforcement Initiative,
531,cnc,1.0,1.0,0.0,enable_1_1_0,The United Kingdom has announced a new immigration policy that will make it easier for skilled workers from outside the European Union to work in the country.,"[""The United Kingdom has announced a new immigration <ARG0>policy</ARG0> that will make it easier for skilled <ARG1>work</ARG1>ers from outside the European Union to <ARG1>work</ARG1> in the country.""]",0.0,Natural Disaster,Immigration Policy Change,enable,enable,Natural Disaster enable Immigration Policy Change,
532,cnc,1.0,1.0,0.0,intend_1_1_0,"Mr. Drabinsky, who would have had the right to vote those shares for two years, said the purchase, subsequently rejected by regulators, was aimed at consolidating his control of the company. ","[""Mr. Drabinsky, who would have had the right to vote those shares for two years, said the <ARG0>purchase</ARG0>, subsequently rejected by regulators, was aimed at <ARG1>consolidating</ARG1> his control of the company.""]",0.0,Corporate Action,Regulatory Decision,intend,intend,Corporate Action intend Regulatory Decision,0.78350675
533,cnc,1.0,1.0,0.0,enable_1_1_0,The measure came into force as Chile passed the 50-percent mark of fully vaccinated adults -- over 7.7 million to date out a 15.2 million target population.,"[""The measure came into <ARG1>force</ARG1> as Chile passed the 50-percent mark of fully <ARG0>vaccinated</ARG0> adults -- over 7.7 million to date out a 15.2 million target population.""]",0.0,Public Health Achievement,Government Policy Implementation,enable,enable,Public Health Achievement enable Government Policy Implementation,
534,cnc,1.0,1.0,0.0,enable_1_1_0,The United Nations has passed a resolution calling for an end to the use of explosive weapons in populated areas.,"[""The United Nations has passed a <ARG0>resolution</ARG0> calling for an <ARG1>end</ARG1> to the use of explosive weapons in populated areas.""]",0.0,Natural Disaster,International Agreement,enable,enable,Natural Disaster enable International Agreement,
535,cnc,1.0,1.0,0.0,intend_1_1_0,"The government passed a law to increase access to public transportation, in an effort to reduce poverty.","[""The government <ARG0>passed</ARG0> a law to increase access to public transportation, in an effort to <ARG1>reduce</ARG1> poverty.""]",0.0,Government Policy Change,Poverty Reduction Initiative,intend,intend,Government Policy Change intend Poverty Reduction Initiative,0.78350675
