context,triplets,subject,object,relation
 makes a spectacle of oneself intend to smile at them,<triplet>  makes a spectacle of oneself <subj> to smile at them <obj> intend,makes a spectacle of oneself,to smile at them,intend
 calls  today intend make plans with them.,<triplet>  calls  today <subj> make plans with them. <obj> intend,calls  today,make plans with them.,intend
 wishes  luck intend leave,<triplet>  wishes  luck <subj> leave <obj> intend,wishes  luck,leave,intend
 signs  up intend to thank  for the opportunity,<triplet>  signs  up <subj> to thank  for the opportunity <obj> intend,signs  up,to thank  for the opportunity,intend
 paints the house intend the surrounding to look beautiful,<triplet>  paints the house <subj> the surrounding to look beautiful <obj> intend,paints the house,the surrounding to look beautiful,intend
 tells  no intend improve the behavior.,<triplet>  tells  no <subj> improve the behavior. <obj> intend,tells  no,improve the behavior.,intend
 digs around intend bury seed and pour water,<triplet>  digs around <subj> bury seed and pour water <obj> intend,digs around,bury seed and pour water,intend
rest intend peace and quiet necessary sometimes,<triplet> rest <subj> peace and quiet necessary sometimes <obj> intend,rest,peace and quiet necessary sometimes,intend
 gives  away intend to be generous.,<triplet>  gives away <subj> to be generous. <obj> intend,gives away,to be generous.,intend
 is talking about  intend intrest,<triplet>  is talking about  <subj> intrest <obj> intend,is talking about,intrest,intend
 gives  a break intend try harder,<triplet>  gives  a break <subj> try harder <obj> intend,gives  a break,try harder,intend
 brings  luck intend Go with them to the casino.,<triplet>  brings  luck <subj> Go with them to the casino. <obj> intend,brings  luck,Go with them to the casino.,intend
 receives a call intend to talk with the person calling,<triplet>  receives a call <subj> to talk with the person calling <obj> intend,receives a call,to talk with the person calling,intend
 makes haste slowly intend to take on another task,<triplet>  makes haste slowly <subj> to take on another task <obj> intend,makes haste slowly,to take on another task,intend
 tells  to relax intend them to be quiet,<triplet>  tells  to relax <subj> them to be quiet <obj> intend,tells  to relax,them to be quiet,intend
 knows would have done intend to rest.,<triplet>  knows would have done <subj> to rest. <obj> intend,knows would have done,to rest.,intend
 buys  anyway intend to eat the ice cream,<triplet>  buys anyway <subj> to eat the ice cream <obj> intend,buys anyway,to eat the ice cream,intend
 lone it it intend to get paid,<triplet>  lone it it <subj> to get paid <obj> intend,lone it it,to get paid,intend
 drives  there intend to help ,<triplet>  drives  there <subj> to help  <obj> intend,drives  there,to help,intend
 blows  away intend try blowing more things,<triplet>  blows away <subj> try blowing more things <obj> intend,blows away,try blowing more things,intend
 leaves the  to others intend work hard,<triplet>  leaves the to others <subj> work hard <obj> intend,leaves the to others,work hard,intend
 means so much to  intend Be a good friend to the person,<triplet>  means so much to  <subj> Be a good friend to the person <obj> intend,means so much to,Be a good friend to the person,intend
 measures everything intend to be very corrcet,<triplet>  measures everything <subj> to be very corrcet <obj> intend,measures everything,to be very corrcet,intend
 swings  hard intend to get better at batting,<triplet>  swings hard <subj> to get better at batting <obj> intend,swings hard,to get better at batting,intend
 treats the  lightly intend to make  take action,<triplet>  treats the lightly <subj> to make  take action <obj> intend,treats the lightly,to make  take action,intend
 drops trow intend to drop his/her trousers,<triplet>  drops trow <subj> to drop his/her trousers <obj> intend,drops trow,to drop his/her trousers,intend
 takes a rest intend to relax his muscles,<triplet>  takes a rest <subj> to relax his muscles <obj> intend,takes a rest,to relax his muscles,intend
 does whatever  wanted intend To avoid confrontation,<triplet>  does whatever  wanted <subj> To avoid confrontation <obj> intend,does whatever  wanted,To avoid confrontation,intend
 understands thoroughly the  intend script,<triplet>  understands thoroughly the  <subj> script <obj> intend,understands thoroughly the,script,intend
 puts  in to bake intend to photograph the cake,<triplet>  puts in to bake <subj> to photograph the cake <obj> intend,puts in to bake,to photograph the cake,intend
 plays a part intend to become someone else,<triplet>  plays a part <subj> to become someone else <obj> intend,plays a part,to become someone else,intend
 waves  over intend Earthquakes,<triplet>  waves  over <subj> Earthquakes <obj> intend,waves  over,Earthquakes,intend
 makes sure  was okay intend smiles,<triplet>  makes sure  was okay <subj> smiles <obj> intend,makes sure  was okay,smiles,intend
 eats spaghetti intend to clean up,<triplet>  eats spaghetti <subj> to clean up <obj> intend,eats spaghetti,to clean up,intend
sleep at night intend awake during day,<triplet> sleep at night <subj> awake during day <obj> intend,sleep at night,awake during day,intend
 sees  in the grass intend to tell others what he found,<triplet>  sees in the grass <subj> to tell others what he found <obj> intend,sees in the grass,to tell others what he found,intend
 hears strange noises intend to call someone to help,<triplet>  hears strange noises <subj> to call someone to help <obj> intend,hears strange noises,to call someone to help,intend
 wants for christmas intend to hope and pray they will get it,<triplet>  wants for christmas <subj> to hope and pray they will get it <obj> intend,wants for christmas,to hope and pray they will get it,intend
 praises  intend period of time,<triplet>  praises  <subj> period of time <obj> intend,praises,period of time,intend
 affords college intend to help  make a decision on courses,<triplet>  affords college <subj> to help  make a decision on courses <obj> intend,affords college,to help  make a decision on courses,intend
 tells  about it intend to make up for the mistakes,<triplet>  tells  about it <subj> to make up for the mistakes <obj> intend,tells  about it,to make up for the mistakes,intend
 gives you another  intend To drink it slowly.,<triplet>  gives you another  <subj> To drink it slowly. <obj> intend,gives you another,To drink it slowly.,intend
 goes  early intend to sleep,<triplet>  goes early <subj> to sleep <obj> intend,goes early,to sleep,intend
 invites  to stay intend to not be alone.,<triplet>  invites  to stay <subj> to not be alone. <obj> intend,invites  to stay,to not be alone.,intend
 immediately noticed  intend to be observant,<triplet>  immediately noticed  <subj> to be observant <obj> intend,immediately noticed,to be observant,intend
 catches and arrested intend To get out of jail,<triplet>  catches and arrested <subj> To get out of jail <obj> intend,catches and arrested,To get out of jail,intend
 defines clearly the  intend to be exact,<triplet>  defines clearly the  <subj> to be exact <obj> intend,defines clearly the,to be exact,intend
 is working out at the gym intend to make some gains,<triplet>  is working out at the gym <subj> to make some gains <obj> intend,is working out at the gym,to make some gains,intend
 is yelling at  intend him to do something.,<triplet>  is yelling at  <subj> him to do something. <obj> intend,is yelling at,him to do something.,intend
 meets  in person intend to say hello,<triplet>  meets  in person <subj> to say hello <obj> intend,meets  in person,to say hello,intend
 does a terrible job intend to get advice,<triplet>  does a terrible job <subj> to get advice <obj> intend,does a terrible job,to get advice,intend
 eats my lunch intend to save the left overs,<triplet>  eats my lunch <subj> to save the left overs <obj> intend,eats my lunch,to save the left overs,intend
 causes the  in the place intend to ignore ,<triplet>  causes the in the place <subj> to ignore  <obj> intend,causes the in the place,to ignore,intend
 comes  tonight intend to sleep,<triplet>  comes tonight <subj> to sleep <obj> intend,comes tonight,to sleep,intend
 sees the sun rise intend to get a photo,<triplet>  sees the sun rise <subj> to get a photo <obj> intend,sees the sun rise,to get a photo,intend
 shows  sign intend to get away from ,<triplet>  shows  sign <subj> to get away from  <obj> intend,shows  sign,to get away from,intend
 orders it online intend To get an item cheap,<triplet>  orders it online <subj> To get an item cheap <obj> intend,orders it online,To get an item cheap,intend
 comes within reach intend start running again,<triplet>  comes within reach <subj> start running again <obj> intend,comes within reach,start running again,intend
 hires  to help intend pay them,<triplet>  hires to help <subj> pay them <obj> intend,hires to help,pay them,intend
 takes pills intend To be healed,<triplet>  takes pills <subj> To be healed <obj> intend,takes pills,To be healed,intend
 costs a lot intend a job,<triplet>  costs a lot <subj> a job <obj> intend,costs a lot,a job,intend
 leaves enough alone intend to be done with the situation,<triplet>  leaves enough alone <subj> to be done with the situation <obj> intend,leaves enough alone,to be done with the situation,intend
 learns to skateboard intend to practise everyday,<triplet>  learns to skateboard <subj> to practise everyday <obj> intend,learns to skateboard,to practise everyday,intend
 understands another  intend to cooperate with Person X.,<triplet>  understands another  <subj> to cooperate with Person X. <obj> intend,understands another,to cooperate with Person X.,intend
 plays a  in the regulation intend to be influential.,<triplet>  plays a in the regulation <subj> to be influential. <obj> intend,plays a in the regulation,to be influential.,intend
 gives  a treat intend to be nice,<triplet>  gives  a treat <subj> to be nice <obj> intend,gives  a treat,to be nice,intend
 needs the money intend to be rich,<triplet>  needs the money <subj> to be rich <obj> intend,needs the money,to be rich,intend
 rides the ride intend stop the bike,<triplet>  rides the ride <subj> stop the bike <obj> intend,rides the ride,stop the bike,intend
 wants to buy a house intend pay the money,<triplet>  wants to buy a house <subj> pay the money <obj> intend,wants to buy a house,pay the money,intend
 shows  everything intend thank personX,<triplet>  shows  everything <subj> thank personX <obj> intend,shows  everything,thank personX,intend
 does not want to go to school intend to stay home,<triplet>  does not want to go to school <subj> to stay home <obj> intend,does not want to go to school,to stay home,intend
 hears a loud bang intend to look in the direction of the bang,<triplet>  hears a loud bang <subj> to look in the direction of the bang <obj> intend,hears a loud bang,to look in the direction of the bang,intend
 learns to knit intend to make christmas presents,<triplet>  learns to knit <subj> to make christmas presents <obj> intend,learns to knit,to make christmas presents,intend
 buys things intend to go home and wrap the things for Christmas,<triplet>  buys things <subj> to go home and wrap the things for Christmas <obj> intend,buys things,to go home and wrap the things for Christmas,intend
 loves  still intend stays with the person,<triplet>  loves  still <subj> stays with the person <obj> intend,loves  still,stays with the person,intend
 pays  attention intend to relax,<triplet>  pays  attention <subj> to relax <obj> intend,pays  attention,to relax,intend
 declares war intend fire person x,<triplet>  declares war <subj> fire person x <obj> intend,declares war,fire person x,intend
 searches online intend to tell others about the information he found online,<triplet>  searches online <subj> to tell others about the information he found online <obj> intend,searches online,to tell others about the information he found online,intend
 scars the hell out of  intend to calm down,<triplet>  scars the hell out of  <subj> to calm down <obj> intend,scars the hell out of,to calm down,intend
 has fallen asleep intend lay in bed,<triplet>  has fallen asleep <subj> lay in bed <obj> intend,has fallen asleep,lay in bed,intend
 makes many friends intend to be friendly,<triplet>  makes many friends <subj> to be friendly <obj> intend,makes many friends,to be friendly,intend
 arrives back intend to greet their family,<triplet>  arrives back <subj> to greet their family <obj> intend,arrives back,to greet their family,intend
 takes  to florida intend to visit,<triplet>  takes to florida <subj> to visit <obj> intend,takes to florida,to visit,intend
 takes a look at it intend examine it,<triplet>  takes a look at it <subj> examine it <obj> intend,takes a look at it,examine it,intend
 strikes while the iron is hot intend to hide,<triplet>  strikes while the iron is hot <subj> to hide <obj> intend,strikes while the iron is hot,to hide,intend
 persuades the  to adopt intend to make a sale,<triplet>  persuades the to adopt <subj> to make a sale <obj> intend,persuades the to adopt,to make a sale,intend
 has just had a new baby intend to have offspring and raise them,<triplet>  has just had a new baby <subj> to have offspring and raise them <obj> intend,has just had a new baby,to have offspring and raise them,intend
 takes   to get there intend to drive faster.,<triplet>  takes  to get there <subj> to drive faster. <obj> intend,takes  to get there,to drive faster.,intend
 makes  reply intend He cries,<triplet>  makes  reply <subj> He cries <obj> intend,makes  reply,He cries,intend
 plays a gig intend to ask  to play another gig,<triplet>  plays a gig <subj> to ask  to play another gig <obj> intend,plays a gig,to ask  to play another gig,intend
 traces the  in this book intend to be able to read it,<triplet>  traces the in this book <subj> to be able to read it <obj> intend,traces the in this book,to be able to read it,intend
 takes five intend to get some coffee,<triplet>  takes five <subj> to get some coffee <obj> intend,takes five,to get some coffee,intend
 takes  to a restaurant intend Enjoy a night out,<triplet>  takes to a restaurant <subj> Enjoy a night out <obj> intend,takes to a restaurant,Enjoy a night out,intend
 sends  on the earth intend to observe ,<triplet>  sends on the earth <subj> to observe  <obj> intend,sends on the earth,to observe,intend
 borrows some money intend to pay their bills,<triplet>  borrows some money <subj> to pay their bills <obj> intend,borrows some money,to pay their bills,intend
 lets  know what you think intend to be understood,<triplet>  lets  know what you think <subj> to be understood <obj> intend,lets  know what you think,to be understood,intend
 quotes  in a review intend to defend,<triplet>  quotes in a review <subj> to defend <obj> intend,quotes in a review,to defend,intend
 reaches home intend wants to go home,<triplet>  reaches home <subj> wants to go home <obj> intend,reaches home,wants to go home,intend
 has such a good time intend to do it again,<triplet>  has such a good time <subj> to do it again <obj> intend,has such a good time,to do it again,intend
 keeps the family together intend to fulfill his duties as the head of the family,<triplet>  keeps the family together <subj> to fulfill his duties as the head of the family <obj> intend,keeps the family together,to fulfill his duties as the head of the family,intend
get clean intend feel fresh and awake,<triplet> get clean <subj> feel fresh and awake <obj> intend,get clean,feel fresh and awake,intend
 shoulds break up intend to move,<triplet>  shoulds break up <subj> to move <obj> intend,shoulds break up,to move,intend
 finds the source intend to look for other things,<triplet>  finds the source <subj> to look for other things <obj> intend,finds the source,to look for other things,intend
 starts a diet intend to remain fit,<triplet>  starts a diet <subj> to remain fit <obj> intend,starts a diet,to remain fit,intend
 learns every  intend to be the best,<triplet>  learns every  <subj> to be the best <obj> intend,learns every,to be the best,intend
 gives  a reward intend to pat them on the back,<triplet>  gives  a reward <subj> to pat them on the back <obj> intend,gives  a reward,to pat them on the back,intend
 has been dating for a year intend to keep dating the person they like,<triplet>  has been dating for a year <subj> to keep dating the person they like <obj> intend,has been dating for a year,to keep dating the person they like,intend
 prevents the  from getting intend maintain safety,<triplet>  prevents the from getting <subj> maintain safety <obj> intend,prevents the from getting,maintain safety,intend
 moves in with  intend save money,<triplet>  moves in with  <subj> save money <obj> intend,moves in with,save money,intend
 counts to three intend to take a photo,<triplet>  counts to three <subj> to take a photo <obj> intend,counts to three,to take a photo,intend
 keeps driving intend to run away,<triplet>  keeps driving <subj> to run away <obj> intend,keeps driving,to run away,intend
 cooks  intend  to eat,<triplet>  cooks  <subj>  to eat <obj> intend,cooks,to eat,intend
 calls  stupid intend to argue with ,<triplet>  calls  stupid <subj> to argue with  <obj> intend,calls  stupid,to argue with,intend
 holds open the  intend take their hand off object they are opening,<triplet>  holds open the  <subj> take their hand off object they are opening <obj> intend,holds open the,take their hand off object they are opening,intend
 attends a party intend to meet friends,<triplet>  attends a party <subj> to meet friends <obj> intend,attends a party,to meet friends,intend
 drives away  intend to feel vindicated,<triplet>  drives away  <subj> to feel vindicated <obj> intend,drives away,to feel vindicated,intend
 wants a new car intend to go to the dealership,<triplet>  wants a new car <subj> to go to the dealership <obj> intend,wants a new car,to go to the dealership,intend
 walks  from school intend to get some exercise,<triplet>  walks from school <subj> to get some exercise <obj> intend,walks from school,to get some exercise,intend
 tries to talk  out of it intend to make different plans with .,<triplet>  tries to talk  out of it <subj> to make different plans with . <obj> intend,tries to talk  out of it,to make different plans with .,intend
 confers upon  the  intend to be thanked by ,<triplet>  confers upon  the  <subj> to be thanked by  <obj> intend,confers upon  the,to be thanked by,intend
 persuades  to give intend Leave the room,<triplet>  persuades to give <subj> Leave the room <obj> intend,persuades to give,Leave the room,intend
 avoids  action intend to mind their own business.,<triplet>  avoids  action <subj> to mind their own business. <obj> intend,avoids  action,to mind their own business.,intend
 throws  in the eyes intend fight the person,<triplet>  throws in the eyes <subj> fight the person <obj> intend,throws in the eyes,fight the person,intend
 moves back and forth intend get rid of nervous energy,<triplet>  moves back and forth <subj> get rid of nervous energy <obj> intend,moves back and forth,get rid of nervous energy,intend
 wants to meet  intend to call Y,<triplet>  wants to meet  <subj> to call Y <obj> intend,wants to meet,to call Y,intend
 stays here another  intend to visit family,<triplet>  stays here another  <subj> to visit family <obj> intend,stays here another,to visit family,intend
 has to write an essay intend the teacher to be impressed.,<triplet>  has to write an essay <subj> the teacher to be impressed. <obj> intend,has to write an essay,the teacher to be impressed.,intend
 rushes toward  intend to tell them something.,<triplet>  rushes toward  <subj> to tell them something. <obj> intend,rushes toward,to tell them something.,intend
 loses  intend to look out for X,<triplet>  loses  <subj> to look out for X <obj> intend,loses,to look out for X,intend
 begins dating intend Take them to the movies.,<triplet>  begins dating <subj> Take them to the movies. <obj> intend,begins dating,Take them to the movies.,intend
 works a full time job intend to have money for their bills,<triplet>  works a full time job <subj> to have money for their bills <obj> intend,works a full time job,to have money for their bills,intend
 rents a cabin intend to have fun,<triplet>  rents a cabin <subj> to have fun <obj> intend,rents a cabin,to have fun,intend
 comes toward  intend to talk to person,<triplet>  comes toward  <subj> to talk to person <obj> intend,comes toward,to talk to person,intend
 prepares ye the  intend To guide others,<triplet>  prepares ye the  <subj> To guide others <obj> intend,prepares ye the,To guide others,intend
 drives  safely intend avoid tickets,<triplet>  drives safely <subj> avoid tickets <obj> intend,drives safely,avoid tickets,intend
 drives  around intend drive,<triplet>  <ARG1>drive</ARG1>s around <subj> drive <obj> intend,<ARG1>drive</ARG1>s around,drive,intend
 tells  not to come intend going well,<triplet>  tells  not to come <subj> going well <obj> intend,tells  not to come,going well,intend
 eats healthy food intend to be healthy,<triplet>  eats healthy food <subj> to be healthy <obj> intend,eats healthy food,to be healthy,intend
 takes  in high school intend to learn about the subject,<triplet>  takes in high school <subj> to learn about the subject <obj> intend,takes in high school,to learn about the subject,intend
 asks my parents intend to go with on a trip,<triplet>  asks my parents <subj> to go with on a trip <obj> intend,asks my parents,to go with on a trip,intend
 gets  off the ground intend to stand up.,<triplet>  gets off the ground <subj> to stand up. <obj> intend,gets off the ground,to stand up.,intend
 comes early intend to get fresh,<triplet>  comes early <subj> to get fresh <obj> intend,comes early,to get fresh,intend
 drives  home intend to go iniside,<triplet>  drives  home <subj> to go iniside <obj> intend,drives  home,to go iniside,intend
 plays better intend to learn from it,<triplet>  plays better <subj> to learn from it <obj> intend,plays better,to learn from it,intend
 moves  to action intend to make sure they understand,<triplet>  moves to action <subj> to make sure they understand <obj> intend,moves to action,to make sure they understand,intend
 takes advantage of  intend to make profit,<triplet>  takes advantage of  <subj> to make profit <obj> intend,takes advantage of,to make profit,intend
 feels adventurous intend to go on a road trip,<triplet>  feels adventurous <subj> to go on a road trip <obj> intend,feels adventurous,to go on a road trip,intend
 purchases this book without a cover intend Share the book,<triplet>  purchases this book without a cover <subj> Share the book <obj> intend,purchases this book without a cover,Share the book,intend
 buys a new brush intend to go to the paint store,<triplet>  buys a new brush <subj> to go to the paint store <obj> intend,buys a new brush,to go to the paint store,intend
 makes a statement intend to see what people think,<triplet>  makes a statement <subj> to see what people think <obj> intend,makes a statement,to see what people think,intend
 throws  on the problem intend to solve it,<triplet>  throws on the problem <subj> to solve it <obj> intend,throws on the problem,to solve it,intend
 drinks one night intend to never drink again,<triplet>  drinks one night <subj> to never drink again <obj> intend,drinks one night,to never drink again,intend
 shows  the door intend to make persony leave,<triplet>  shows  the door <subj> to make persony leave <obj> intend,shows  the door,to make persony leave,intend
 makes  choice intend to guide ,<triplet>  makes  choice <subj> to guide  <obj> intend,makes  choice,to guide,intend
 buys some new shoes intend to help the next customer.,<triplet>  buys some new shoes <subj> to help the next customer. <obj> intend,buys some new shoes,to help the next customer.,intend
"If you have a valid ID
,
you can enter",<triplet> If you have a valid ID <subj> you can enter <obj> enable,If you have a valid ID,you can enter,enable
"The car's engine is running smoothly
making it easier
to reach our desired location faster",<triplet> The cars engine is running smoothly <subj> to reach our desired location faster <obj> enable,The cars engine is running smoothly,to reach our desired location faster,enable
"When the light switch
is turned on,
it allows people",<triplet> When the light switch <subj> it allows people <obj> enable,When the light switch,it allows people,enable
"With sufficient resources
and financial support from donors,
the charity organization was able to launch a successful fundraising campaign.",<triplet> With sufficient resources <subj> the charity organization was able to launch a successful fundraising campaign. <obj> enable,With sufficient resources,the charity organization was able to launch a successful fundraising campaign.,enable
it will By opening the valve on the gas tank it will  allows  fuel to flow fuel can flow into an engine's engine by opening a valve on the gas tank.,<triplet> it will By opening the valve on the gas tank <subj>  fuel can flow into an engines engine by opening a valve on the gas tank. <obj> enable,it will By opening the valve on the gas tank,fuel can flow into an engines engine by opening a valve on the gas tank.,enable
"A state where the car's engine is operating without issues or obstructions
when
The capability of driving fast on a high-speed road",<triplet> A state where the cars engine is operating without issues or obstructions <subj> The capability of driving fast on a high-speed road <obj> enable,A state where the cars engine is operating without issues or obstructions,The capability of driving fast on a high-speed road,enable
"As soon as the coffee is brewed
so that
it can be poured into a mug and enjoyed immediately.",<triplet> As soon as the coffee is brewed <subj> it can be poured into a mug and enjoyed immediately. <obj> enable,As soon as the coffee is brewed,it can be poured into a mug and enjoyed immediately.,enable
"The car cannot be driven
without
a valid license",<triplet> The car cannot be driven <subj> a valid license <obj> enable,The car cannot be driven,a valid license,enable
"When the rain has stopped
walking in the park
will not result in getting wet.",<triplet> When the rain has stopped <subj> will not result in getting wet. <obj> enable,When the rain has stopped,will not result in getting wet.,enable
"When the weather is clear
is enabling
you to enjoy a scenic hike without getting lost or wet.",<triplet> When the weather is clear <subj> you to enjoy a scenic hike without getting lost or wet. <obj> enable,When the weather is clear,you to enjoy a scenic hike without getting lost or wet.,enable
"The light wouldn't turn on
unless
it was connected to a power source",<triplet> The light wouldnt turn on <subj> it was connected to a power source <obj> enable,The light wouldnt turn on,it was connected to a power source,enable
 A clear roaway   allows rivers to travel safely an efficiently.,<triplet>  A clear roaway <subj>  to travel safely an efficiently. <obj> enable,A clear roaway,to travel safely an efficiently.,enable
"When the car
is refueled,
it can drive for miles without running out of gas.",<triplet> When the car <subj> it can drive for miles without running out of gas. <obj> enable,When the car,it can drive for miles without running out of gas.,enable
"When the oven
is preheated
we can put food inside",<triplet> When the oven <subj> we can put food inside <obj> enable,When the oven,we can put food inside,enable
"The car's engine is not functioning optimally or is struggling to operate due to various factors such as low oil levels or worn-out parts.
The driver revs up the engine and ensures that it is running smoothly.
The car's tire effortlessly negotiates a tight bend without any difficulty.",<triplet> The cars engine is not functioning optimally or is struggling to operate due to various factors such as low oil levels or worn-out parts. <subj> The cars tire effortlessly negotiates a tight bend without any difficulty. <obj> enable,The cars engine is not functioning optimally or is struggling to operate due to various factors such as low oil levels or worn-out parts.,The cars tire effortlessly negotiates a tight bend without any difficulty.,enable
"If there are enough seats on the bus
then the
passengers can board",<triplet> If there are enough seats on the bus <subj> passengers can board <obj> enable,If there are enough seats on the bus,passengers can board,enable
"hoping to clear up the error
and
the system restarted successfully",<triplet> hoping to clear up the error <subj> the system restarted successfully <obj> enable,hoping to clear up the error,the system restarted successfully,enable
 She unlocke her phone   enabling   her to check the message she' misse earlier,<triplet>  She unlocke her phone <subj>  her to check the message she misse earlier <obj> enable,She unlocke her phone,her to check the message she misse earlier,enable
"The door's lock being unlocked with a key
opens access
for visitors.",<triplet> The doors lock being unlocked with a key <subj> for visitors. <obj> enable,The doors lock being unlocked with a key,for visitors.,enable
"Once the bread is fully cooked
will
it will be ready to eat",<triplet> Once the bread is fully cooked <subj> it will be ready to eat <obj> enable,Once the bread is fully cooked,it will be ready to eat,enable
"The water level in the reservoir is high
which
allows for recreational activities like swimming and boating",<triplet> The water level in the reservoir is high <subj> allows for recreational activities like swimming and boating <obj> enable,The water level in the reservoir is high,allows for recreational activities like swimming and boating,enable
"When the sun is shining
When
It's a perfect day for a picnic in the park.",<triplet> When the sun is shining <subj> Its a perfect day for a picnic in the park. <obj> enable,When the sun is shining,Its a perfect day for a picnic in the park.,enable
"With a properly installed car seat
with
babies can ride safely in the backseat",<triplet> With a properly installed car seat <subj> babies can ride safely in the backseat <obj> enable,With a properly installed car seat,babies can ride safely in the backseat,enable
"When the light switch
is turned on
the room becomes brighter.",<triplet> When the light switch <subj> the room becomes brighter. <obj> enable,When the light switch,the room becomes brighter.,enable
"The weather is perfect
enabling
us to have a delightful picnic with our loved ones",<triplet> The weather is perfect <subj> us to have a delightful picnic with our loved ones <obj> enable,The weather is perfect,us to have a delightful picnic with our loved ones,enable
"Wearing protective gear such as gloves and goggles when handling hazardous materials
In order to avoid any accidents, you should
You can wear protective gear such as gloves and goggles when handling hazardous materials",<triplet> Wearing protective gear such as gloves and goggles when handling hazardous materials <subj> You can wear protective gear such as gloves and goggles when handling hazardous materials <obj> enable,Wearing protective gear such as gloves and goggles when handling hazardous materials,You can wear protective gear such as gloves and goggles when handling hazardous materials,enable
"When the computer's virus protection software is updated
will
it will provide better security and defense against online threats",<triplet> When the computers virus protection software is updated <subj> it will provide better security and defense against online threats <obj> enable,When the computers virus protection software is updated,it will provide better security and defense against online threats,enable
"Once the cake
has cooled down
you can decorate it with frosting.",<triplet> Once the cake <subj> you can decorate it with frosting. <obj> enable,Once the cake,you can decorate it with frosting.,enable
"The water
is hot enough
The tea to be brewed.",<triplet> The water <subj> The tea to be brewed. <obj> enable,The water,The tea to be brewed.,enable
"The car's brakes are engaged
which
enables it to come to a stop",<triplet> The cars brakes are engaged <subj> enables it to come to a stop <obj> enable,The cars brakes are engaged,enables it to come to a stop,enable
 The car engine has been properly maintain   enabling   it to run efficiently an save fuel,<triplet>  The car engine has been properly maintain <subj>  it to run efficiently an save fuel <obj> enable,The car engine has been properly maintain,it to run efficiently an save fuel,enable
"A working fire alarm system
Will
Alert people in case of a fire emergency.",<triplet> A working fire alarm system <subj> Alert people in case of a fire emergency. <obj> enable,A working fire alarm system,Alert people in case of a fire emergency.,enable
"When your laptop battery
is low
plug it in to charge",<triplet> When your laptop battery <subj> plug it in to charge <obj> enable,When your laptop battery,plug it in to charge,enable
"When the fire alarm is
triggered
emergency responders will be dispatched.",<triplet> When the fire alarm is <subj> emergency responders will be dispatched. <obj> enable,When the fire alarm is,emergency responders will be dispatched.,enable
"the signal "" A low battery warning on a smartphone the signal ""  enables  to happen."" The event that is enable to happen is: The phone is connecte to a charger.",<triplet> the signal A low battery warning on a smartphone <subj>  The event that is enable to happen is: The phone is connecte to a charger. <obj> enable,the signal A low battery warning on a smartphone,The event that is enable to happen is: The phone is connecte to a charger.,enable
"it will stay fresh
because of
the cooling effect of the appliance.",<triplet> it will stay fresh <subj> the cooling effect of the appliance. <obj> enable,it will stay fresh,the cooling effect of the appliance.,enable
"the device can be switched on.
Once
the device is switched on.",<triplet> the device can be switched on. <subj> the device is switched on. <obj> enable,the device can be switched on.,the device is switched on.,enable
"When the coffee has finished brewing
it can be poured
into a mug and enjoyed.",<triplet> When the coffee has finished brewing <subj> into a mug and enjoyed. <obj> enable,When the coffee has finished brewing,into a mug and enjoyed.,enable
"The opening of the package
reveals
its contents.",<triplet> The opening of the package <subj> its contents. <obj> enable,The opening of the package,its contents.,enable
"If I have a valid passport
I can travel to any country
without any restrictions.",<triplet> If I have a valid passport <subj> without any restrictions. <obj> enable,If I have a valid passport,without any restrictions.,enable
"The open window
allows for
a cool breeze to flow in",<triplet> The open window <subj> a cool breeze to flow in <obj> enable,The open window,a cool breeze to flow in,enable
"If a student scores below 60% in their exam
they can
retake it during the next semester.",<triplet> If a student scores below 60% in their exam <subj> retake it during the next semester. <obj> enable,If a student scores below 60% in their exam,retake it during the next semester.,enable
"When the oven
is preheated
food can be cooked evenly.",<triplet> When the oven <subj> food can be cooked evenly. <obj> enable,When the oven,food can be cooked evenly.,enable
"having a valid ID card
allows one
to enter restricted areas",<triplet> having a valid ID card <subj> to enter restricted areas <obj> enable,having a valid ID card,to enter restricted areas,enable
"The existence of a backup generator
allows
have electricity during power outages",<triplet> The existence of a backup generator <subj> have electricity during power outages <obj> enable,The existence of a backup generator,have electricity during power outages,enable
"The sun's rays shining
through the window
allow me",<triplet> The suns rays shining <subj> allow me <obj> enable,The suns rays shining,allow me,enable
"is If a person has learne to swim, is  enabling   they can go swimming.","<triplet> is If a person has learne to swim, <subj>  they can go swimming. <obj> enable","is If a person has learne to swim,",they can go swimming.,enable
"When the weather is sunny
wear sunglasses
to protect your eyes.",<triplet> When the weather is sunny <subj> to protect your eyes. <obj> enable,When the weather is sunny,to protect your eyes.,enable
",
then
the room becomes brighter.","<triplet> , <subj> the room becomes brighter. <obj> enable",",",the room becomes brighter.,enable
"After the coffee has been brewed
after
it can be poured into a mug",<triplet> After the coffee has been brewed <subj> it can be poured into a mug <obj> enable,After the coffee has been brewed,it can be poured into a mug,enable
"When the paint is dry
can
the furniture can be moved",<triplet> When the paint is dry <subj> the furniture can be moved <obj> enable,When the paint is dry,the furniture can be moved,enable
"As long as the tire is inflated to the correct pressure
it ensures
safe driving conditions",<triplet> As long as the tire is inflated to the correct pressure <subj> safe driving conditions <obj> enable,As long as the tire is inflated to the correct pressure,safe driving conditions,enable
"The right tools
allow
a mechanic to fix a car more efficiently",<triplet> The right tools <subj> a mechanic to fix a car more efficiently <obj> enable,The right tools,a mechanic to fix a car more efficiently,enable
